Class-IRI	Class-Text
nci:Recurrent_Adult_Spinal_Cord_Neoplasm	recurrent adult spinal cord neoplasm <sep> recurrent adult spinal cord tumor
nci:Recurrent_Spinal_Cord_Neoplasm	recurrent spinal cord neoplasm <sep> recurrent spinal cord tumor
nci:Recurrent_Angiosarcoma	recurrent angiosarcoma <sep> recurrent hemangiosarcoma <sep> relapsed angiosarcoma <sep> relapsed hemangiosarcoma
nci:Recurrent_B-Cell_Non-Hodgkin_s_Lymphoma	b-cell lymphoma recurrent <sep> recurrent b-cell lymphoma <sep> recurrent b-cell non-hodgkin lymphoma <sep> recurrent b-cell non-hodgkin's lymphoma
nci:Recurrent_Central_Nervous_System_Neoplasm	recurrent central nervous system neoplasm <sep> recurrent central nervous system tumor
nci:Recurrent_Breast_Cancer	breast cancer, recurrent <sep> recurrent breast cancer <sep> recurrent breast carcinoma
nci:Recurrent_Carcinoma	recurrent cancer <sep> recurrent carcinoma <sep> relapsed cancer <sep> relapsed carcinoma
nci:Recurrent_Malignant_Neoplasm	recurrent cancer <sep> recurrent malignant neoplasm <sep> recurrent malignant tumor
nci:Recurrent_Neoplasm	neoplasm recurrence <sep> recurrent neoplasm <sep> recurrent tumor
nci:Recurrent_Cervical_Carcinoma	cervical carcinoma recurrent <sep> recurrent carcinoma of cervix <sep> recurrent carcinoma of cervix uteri <sep> recurrent carcinoma of uterine cervix <sep> recurrent carcinoma of the cervix <sep> recurrent carcinoma of the cervix uteri <sep> recurrent carcinoma of the uterine cervix <sep> recurrent cervical cancer <sep> recurrent cervix uteri carcinoma <sep> recurrent uterine cervix carcinoma <sep> relapsed carcinoma of cervix <sep> relapsed carcinoma of cervix uteri <sep> relapsed carcinoma of uterine cervix <sep> relapsed carcinoma of the cervix <sep> relapsed carcinoma of the cervix uteri <sep> relapsed carcinoma of the uterine cervix <sep> relapsed cervical carcinoma <sep> relapsed cervix carcinoma <sep> relapsed cervix uteri carcinoma <sep> relapsed uterine cervix carcinoma
nci:Recurrent_Female_Reproductive_System_Cancer	recurrent female reproductive system cancer <sep> recurrent female reproductive system carcinoma
nci:Recurrent_Childhood_Brain_Neoplasm	recurrent childhood brain neoplasm <sep> recurrent childhood brain tumor <sep> recurrent neoplasm of childhood brain <sep> recurrent neoplasm of pediatric brain <sep> recurrent neoplasm of the childhood brain <sep> recurrent neoplasm of the pediatric brain <sep> recurrent pediatric brain neoplasm <sep> recurrent pediatric brain tumor <sep> recurrent tumor of childhood brain <sep> recurrent tumor of pediatric brain <sep> recurrent tumor of the childhood brain <sep> recurrent tumor of the pediatric brain <sep> relapsed childhood brain neoplasm <sep> relapsed childhood brain tumor <sep> relapsed neoplasm of childhood brain <sep> relapsed neoplasm of pediatric brain <sep> relapsed neoplasm of the childhood brain <sep> relapsed neoplasm of the pediatric brain <sep> relapsed pediatric brain neoplasm <sep> relapsed pediatric brain tumor <sep> relapsed tumor of childhood brain <sep> relapsed tumor of pediatric brain <sep> relapsed tumor of the childhood brain <sep> relapsed tumor of the pediatric brain
nci:Recurrent_Childhood_Central_Nervous_System_Neoplasm	recurrent childhood central nervous system neoplasm <sep> recurrent childhood central nervous system tumor
nci:Recurrent_Childhood_Brain_Stem_Astrocytoma	recurrent childhood brain stem astrocytoma <sep> recurrent childhood brainstem astrocytoma
nci:Recurrent_Childhood_Brain_Stem_Glioma	recurrent childhood brain stem glioma <sep> recurrent childhood brainstem glioma <sep> recurrent childhood glioma of brain stem <sep> recurrent childhood glioma of brainstem <sep> recurrent childhood glioma of the brain stem <sep> recurrent childhood glioma of the brainstem <sep> recurrent pediatric brain stem glioma <sep> recurrent pediatric brainstem glioma <sep> recurrent pediatric glioma of brain stem <sep> recurrent pediatric glioma of brainstem <sep> recurrent pediatric glioma of the brain stem <sep> recurrent pediatric glioma of the brainstem <sep> relapsed childhood brain stem glioma <sep> relapsed childhood brainstem glioma <sep> relapsed childhood glioma of brain stem <sep> relapsed childhood glioma of brainstem <sep> relapsed childhood glioma of the brain stem <sep> relapsed childhood glioma of the brainstem <sep> relapsed pediatric brain stem glioma <sep> relapsed pediatric brainstem glioma <sep> relapsed pediatric glioma of brain stem <sep> relapsed pediatric glioma of brainstem <sep> relapsed pediatric glioma of the brain stem <sep> relapsed pediatric glioma of the brainstem
nci:Recurrent_Childhood_Cerebellar_Astrocytoma	recurrent childhood astrocytoma of cerebellum <sep> recurrent childhood astrocytoma of the cerebellum <sep> recurrent childhood cerebellar astrocytoma <sep> recurrent pediatric astrocytoma of cerebellum <sep> recurrent pediatric astrocytoma of the cerebellum <sep> recurrent pediatric cerebellar astrocytoma <sep> relapsed childhood astrocytoma of cerebellum <sep> relapsed childhood astrocytoma of the cerebellum <sep> relapsed childhood cerebellar astrocytoma <sep> relapsed pediatric astrocytoma of cerebellum <sep> relapsed pediatric astrocytoma of the cerebellum <sep> relapsed pediatric cerebellar astrocytoma
nci:Recurrent_Childhood_Cerebral_Astrocytoma	recurrent childhood cerebral astrocytoma
nci:Recurrent_Childhood_Hodgkin_s_Lymphoma	recurrent childhood hodgkin lymphoma <sep> recurrent childhood hodgkin's disease <sep> recurrent childhood hodgkin's lymphoma <sep> recurrent pediatric hodgkin's disease <sep> recurrent pediatric hodgkin's lymphoma <sep> relapsed childhood hodgkin's disease <sep> relapsed childhood hodgkin's lymphoma <sep> relapsed pediatric hodgkin's disease <sep> relapsed pediatric hodgkin's lymphoma
nci:Recurrent_Childhood_Medulloblastoma	recurrent childhood medulloblastoma <sep> recurrent pediatric medulloblastoma <sep> relapsed childhood medulloblastoma <sep> relapsed pediatric medulloblastoma
nci:Recurrent_Medulloblastoma	recurrent medulloblastoma <sep> relapsed medulloblastoma
nci:Recurrent_Childhood_Optic_Nerve_Astrocytoma	recurrent childhood optic nerve astrocytoma <sep> recurrent pediatric optic nerve astrocytoma
nci:Recurrent_Childhood_Optic_Nerve_Glioma	recurrent childhood optic nerve glioma <sep> recurrent pediatric optic nerve glioma
nci:Recurrent_Childhood_Visual_Pathway_Astrocytoma	recurrent childhood optic tract astrocytoma <sep> recurrent childhood visual pathway astrocytoma <sep> recurrent pediatric optic tract astrocytoma <sep> recurrent pediatric visual pathway astrocytoma
nci:Recurrent_Childhood_Visual_Pathway_Glioma	recurrent childhood optic tract glioma <sep> recurrent childhood visual pathway glioma <sep> recurrent glioma of childhood visual pathway <sep> recurrent glioma of pediatric visual pathway <sep> recurrent glioma of the childhood visual pathway <sep> recurrent glioma of the pediatric visual pathway <sep> recurrent pediatric optic tract glioma <sep> recurrent pediatric visual pathway glioma <sep> relapsed childhood visual pathway glioma <sep> relapsed glioma of childhood visual pathway <sep> relapsed glioma of pediatric visual pathway <sep> relapsed glioma of the childhood visual pathway <sep> relapsed glioma of the pediatric visual pathway <sep> relapsed pediatric visual pathway glioma
nci:Recurrent_Childhood_Soft_Tissue_Sarcoma	recurrent childhood sarcoma of soft tissue <sep> recurrent childhood sarcoma of the soft tissue <sep> recurrent childhood soft tissue sarcoma <sep> recurrent pediatric sarcoma of soft tissue <sep> recurrent pediatric sarcoma of the soft tissue <sep> recurrent pediatric soft tissue sarcoma <sep> relapsed childhood sarcoma of soft tissue <sep> relapsed childhood sarcoma of the soft tissue <sep> relapsed childhood soft tissue sarcoma <sep> relapsed pediatric sarcoma of soft tissue <sep> relapsed pediatric sarcoma of the soft tissue <sep> relapsed pediatric soft tissue sarcoma
nci:Recurrent_Childhood_Spinal_Cord_Neoplasm	recurrent childhood spinal cord neoplasm <sep> recurrent childhood spinal cord tumor
nci:Recurrent_Colon_Cancer	recurrent cancer of colon <sep> recurrent cancer of the colon <sep> recurrent colon cancer <sep> recurrent colon carcinoma
nci:Recurrent_Colorectal_Cancer	colorectal cancer, recurrent <sep> colorectal carcinoma recurrent <sep> recurrent colorectal cancer <sep> recurrent colorectal carcinoma
nci:Recurrent_Gastrointestinal_System_Cancer	recurrent gastrointestinal system cancer <sep> recurrent gastrointestinal system carcinoma
nci:Recurrent_Diffuse_Large_B-Cell_Lymphoma	recurrent diffuse large b-cell lymphoma <sep> relapsed diffuse large b-cell lymphoma
nci:Recurrent_Duodenal_Cancer	recurrent duodenal cancer
nci:Recurrent_Malignant_Duodenal_Neoplasm	recurrent malignant duodenal neoplasm
nci:Recurrent_Small_Intestinal_Cancer	recurrent cancer of small intestine <sep> recurrent cancer of the small intestine <sep> recurrent carcinoma of small bowel <sep> recurrent carcinoma of small intestine <sep> recurrent carcinoma of the small bowel <sep> recurrent carcinoma of the small intestine <sep> recurrent small bowel carcinoma <sep> recurrent small intestinal cancer <sep> recurrent small intestine carcinoma <sep> relapsed cancer of small intestine <sep> relapsed cancer of the small intestine <sep> relapsed carcinoma of small bowel <sep> relapsed carcinoma of small intestine <sep> relapsed carcinoma of the small bowel <sep> relapsed carcinoma of the small intestine <sep> relapsed small bowel carcinoma <sep> relapsed small intestine cancer <sep> relapsed small intestine carcinoma <sep> small intestine carcinoma, recurrent
nci:Recurrent_Endometrial_Carcinoma	recurrent cancer of endometrium <sep> recurrent cancer of the endometrium <sep> recurrent corpus uteri cancer <sep> recurrent endometrial cancer <sep> recurrent uterine corpus cancer <sep> relapsed cancer of endometrium <sep> relapsed cancer of the endometrium <sep> relapsed endometrial cancer
nci:Recurrent_Head_and_Neck_Cancer	recurrent head and neck cancer <sep> recurrent head and neck carcinoma
nci:Relapsed_Hematologic_Malignancy	recurrent hematologic cancer <sep> recurrent hematologic malignancy <sep> relapsed hematologic cancer <sep> relapsed hematologic malignancy
nci:Recurrent_Large_Cell_Lung_Carcinoma	recurrent large cell carcinoma of lung <sep> recurrent large cell carcinoma of the lung <sep> recurrent large cell lung carcinoma <sep> relapsed large cell carcinoma of lung <sep> relapsed large cell carcinoma of the lung <sep> relapsed large cell lung carcinoma
nci:Recurrent_Non-Small_Cell_Lung_Cancer	non small cell lung cancer recurrent <sep> non small cell lung cancer, recurrent <sep> recurrent nsclc <sep> recurrent non-small cell cancer of lung <sep> recurrent non-small cell cancer of the lung <sep> recurrent non-small cell lung cancer
nci:Recurrent_Lentigo_Maligna_Melanoma	lentigo maligna recurrent <sep> recurrent lentigo maligna melanoma
nci:Recurrent_Melanoma_of_the_Skin	recurrent cutaneous melanoma <sep> recurrent malignant melanoma of skin <sep> recurrent malignant melanoma of the skin <sep> recurrent malignant skin melanoma <sep> recurrent melanoma of skin <sep> recurrent melanoma of the skin
nci:Recurrent_Liposarcoma	liposarcoma recurrent <sep> recurrent liposarcoma <sep> relapsed liposarcoma
nci:Recurrent_Lung_Cancer	recurrent lung cancer <sep> recurrent lung carcinoma <sep> recurrent unspecified carcinoma of lung <sep> recurrent unspecified carcinoma of the lung <sep> recurrent unspecified lung carcinoma <sep> relapsed unspecified carcinoma of lung <sep> relapsed unspecified carcinoma of the lung <sep> relapsed unspecified lung carcinoma
nci:Recurrent_Malignant_Endocervical_Neoplasm	recurrent malignant endocervical neoplasm
nci:Recurrent_Malignant_Fibrous_Histiocytoma	malignant fibrous histiocytoma recurrent <sep> recurrent malignant fibrous histiocytoma <sep> relapsed malignant fibrous histiocytoma
nci:Recurrent_Malignant_Mesothelioma	mesothelioma malignant recurrent <sep> recurrent malignant mesothelioma <sep> relapsed malignant mesothelioma
nci:Recurrent_Mature_T-and_NK-Cell_Non-Hodgkin_s_Lymphoma	recurrent mature t- and nk-cell lymphoma <sep> recurrent mature t- and nk-cell non-hodgkin lymphoma <sep> recurrent mature t- and nk-cell non-hodgkin's lymphoma <sep> recurrent peripheral t-cell lymphoma <sep> relapsed peripheral t-cell lymphoma
nci:Recurrent_T-Cell_Non-Hodgkin_s_Lymphoma	recurrent t-cell lymphoma <sep> recurrent t-cell non-hodgkin lymphoma <sep> recurrent t-cell non-hodgkin's lymphoma <sep> recurrent t-cell and nk-cell non-hodgkin's lymphoma <sep> relapsed t-cell lymphoma <sep> t-cell lymphoma recurrent <sep> t-cell lymphoma relapsed
nci:Recurrent_Primitive_Neuroectodermal_Tumor	recurrent primitive neuroectodermal tumor
nci:Recurrent_Melanoma	recurrent malignant melanoma <sep> recurrent melanoma
nci:Recurrent_Nasal_Cavity_and_Paranasal_Sinus_Cancer	recurrent nasal cavity and paranasal sinus cancer
nci:Recurrent_Nevus	recurrent nevus
nci:Recurrent_Non-Cutaneous_Melanoma	recurrent non-cutaneous melanoma
nci:Recurrent_Pancreatic_Cancer	pancreatic carcinoma, recurrent <sep> recurrent cancer of pancreas <sep> recurrent cancer of the pancreas <sep> recurrent carcinoma of pancreas <sep> recurrent carcinoma of the pancreas <sep> recurrent pancreatic cancer <sep> recurrent pancreatic carcinoma <sep> relapsed cancer of pancreas <sep> relapsed cancer of the pancreas <sep> relapsed carcinoma of pancreas <sep> relapsed carcinoma of the pancreas <sep> relapsed pancreatic cancer <sep> relapsed pancreatic carcinoma
nci:Recurrent_Pituitary_Gland_Neoplasm	recurrent anterior pituitary gland neoplasm <sep> recurrent anterior pituitary gland tumor <sep> recurrent anterior pituitary neoplasm <sep> recurrent anterior pituitary tumor <sep> recurrent neoplasm of anterior pituitary <sep> recurrent neoplasm of anterior pituitary gland <sep> recurrent neoplasm of the anterior pituitary <sep> recurrent neoplasm of the anterior pituitary gland <sep> recurrent tumor of anterior pituitary <sep> recurrent tumor of anterior pituitary gland <sep> recurrent tumor of the anterior pituitary <sep> recurrent tumor of the anterior pituitary gland <sep> relapsed anterior pituitary gland neoplasm <sep> relapsed anterior pituitary gland tumor <sep> relapsed anterior pituitary neoplasm <sep> relapsed anterior pituitary tumor <sep> relapsed neoplasm of anterior pituitary <sep> relapsed neoplasm of anterior pituitary gland <sep> relapsed neoplasm of the anterior pituitary <sep> relapsed neoplasm of the anterior pituitary gland <sep> relapsed tumor of anterior pituitary gland <sep> relapsed tumor of the anterior pituitary gland
nci:Recurrent_Rectal_Cancer	rectal cancer, recurrent <sep> recurrent cancer of rectum <sep> recurrent cancer of the rectum <sep> recurrent rectal cancer <sep> recurrent rectal carcinoma
nci:Recurrent_Rectosigmoid_Carcinoma	rectosigmoid cancer, recurrent <sep> recurrent rectosigmoid cancer <sep> recurrent rectosigmoid carcinoma <sep> relapsed rectosigmoid cancer
nci:Recurrent_Skin_Cancer	recurrent cancer of skin <sep> recurrent cancer of the skin <sep> recurrent carcinoma of skin <sep> recurrent carcinoma of the skin <sep> recurrent cutaneous carcinoma <sep> recurrent skin cancer <sep> recurrent skin carcinoma
nci:Recurrent_Thyroid_Carcinoma	recurrent cancer of thyroid <sep> recurrent cancer of thyroid gland <sep> recurrent cancer of the thyroid <sep> recurrent cancer of the thyroid gland <sep> recurrent thyroid cancer <sep> recurrent thyroid carcinoma <sep> recurrent thyroid gland carcinoma <sep> relapsed cancer of thyroid <sep> relapsed cancer of thyroid gland <sep> relapsed cancer of the thyroid <sep> relapsed cancer of the thyroid gland <sep> relapsed thyroid cancer <sep> relapsed thyroid gland cancer
nci:Recurrent_Uterine_Sarcoma	recurrent sarcoma of uterus <sep> recurrent sarcoma of the uterus <sep> recurrent uterine sarcoma <sep> relapsed sarcoma of uterus <sep> relapsed sarcoma of the uterus <sep> relapsed uterine sarcoma
nci:Uterine_Corpus_Sarcoma	body of uterus sarcoma <sep> corpus uteri sarcoma <sep> sarcoma of body of uterus <sep> sarcoma of corpus uteri <sep> sarcoma of uterine body <sep> sarcoma of uterine corpus <sep> sarcoma of uterus <sep> sarcoma of the body of uterus <sep> sarcoma of the corpus uteri <sep> sarcoma of the uterine body <sep> sarcoma of the uterine corpus <sep> sarcoma of the uterus <sep> uterine body sarcoma <sep> uterine corpus sarcoma <sep> uterine sarcoma <sep> uterus sarcoma
nci:Refractory_Adult_Spinal_Cord_Neoplasm	refractory adult spinal cord neoplasm <sep> refractory adult spinal cord tumor
nci:Refractory_Spinal_Cord_Neoplasm	refractory spinal cord neoplasm <sep> refractory spinal cord tumor
nci:Refractory_B-Cell_Non-Hodgkin_s_Lymphoma	b-cell lymphoma refractory <sep> refractory b-cell lymphoma <sep> refractory b-cell non-hodgkin lymphoma <sep> refractory b-cell non-hodgkin's lymphoma
nci:Refractory_Non-Hodgkin_s_Lymphoma	non-hodgkin's lymphoma refractory <sep> nonhodgkin's lymphoma refractory <sep> refractory non-hodgkin lymphoma <sep> refractory non-hodgkin's lymphoma
nci:Refractory_Brain_Neoplasm	refractory brain neoplasm <sep> refractory brain tumor
nci:Refractory_Central_Nervous_System_Neoplasm	refractory central nervous system neoplasm <sep> refractory central nervous system tumor
nci:Refractory_Carcinoma	refractory cancer <sep> refractory carcinoma
nci:Refractory_Neoplasm	refractory neoplasm <sep> refractory tumor
nci:Refractory_Childhood_Spinal_Cord_Neoplasm	refractory childhood spinal cord neoplasm <sep> refractory childhood spinal cord tumor
nci:Refractory_Diffuse_Large_B-Cell_Lymphoma	diffuse large b-cell lymphoma refractory <sep> refractory diffuse large b-cell lymphoma
nci:Refractory_Mature_B-Cell_Non-Hodgkin_s_Lymphoma	refractory mature b-cell lymphoma <sep> refractory mature b-cell neoplasm <sep> refractory mature b-cell non-hodgkin lymphoma <sep> refractory mature b-cell non-hodgkin's lymphoma
nci:Refractory_Disease	refractory disease
nci:Refractory_Hematologic_Malignancy	refractory hematologic cancer <sep> refractory hematologic malignancy
nci:Refractory_Hodgkin_s_Lymphoma	refractory hodgkin lymphoma <sep> refractory hodgkin's disease <sep> refractory hodgkin's lymphoma
nci:Refractory_Mature_T-Cell_and_NK-Cell_Non-Hodgkin_s_Lymphoma	peripheral t-cell lymphoma refractory <sep> refractory mature t- and nk-cell lymphoma <sep> refractory mature t-cell and nk-cell non-hodgkin lymphoma <sep> refractory mature t-cell and nk-cell non-hodgkin's lymphoma <sep> refractory peripheral t-cell lymphoma
nci:Refractory_T-Cell_Non-Hodgkin_s_Lymphoma	refractory t-cell lymphoma <sep> refractory t-cell non-hodgkin lymphoma <sep> refractory t-cell non-hodgkin's lymphoma <sep> refractory t-cell and nk-cell non-hodgkin's lymphoma <sep> t-cell lymphoma refractory
nci:Refractory_Plasma_Cell_Neoplasm	refractory plasma cell neoplasm
nci:Regeneration	plasticity/regeneration/transplantation <sep> regeneration
nci:Region_17p13_Allelic_Loss_Associated_Medulloblastomas	region 17p13 allelic loss associated medulloblastoma
nci:del_17p13	del(17)(p13) <sep> del(17p13)
nci:Regional_Enteritis	regional enteritis
nci:Regressing_Melanoma	regressing malignant melanoma <sep> regressing melanoma
nci:Regressing_Melanoma_of_the_Skin	regressing malignant melanoma of skin <sep> regressing malignant melanoma of the skin <sep> regressing malignant skin melanoma <sep> regressing melanoma of skin <sep> regressing melanoma of the skin <sep> regressing skin melanoma
nci:Regressing_Nevus	regressing nevus
nci:Regressing_Non-Cutaneous_Melanoma	regressing non-cutaneous melanoma
nci:Regular_Dense_Connective_Tissue	regular dense connective tissue
nci:Regular_Insulin	humulin r <sep> insulin, regular <sep> novolin r
nci:Therapeutic_Insulin	insulin <sep> recombinant insulin
nci:Regulatory_Gene	regulatory gene
nci:Renal	renal
nci:Renal_Capsule	gerota's capsule <sep> gerota's fascia <sep> perirenal fascia <sep> renal capsule
nci:Renal_Interstitial_Tissue	renal interstitial tissue
nci:Renal_Papilla	renal papilla
nci:Renal_Pelvis	renal pelvis
nci:Renal_Pelvis_and_Ureter	renal pelvis and ureter
nci:Renal_Pelvis_Urothelium	renal pelvis transitional epithelium <sep> renal pelvis urothelium
nci:Reproductive_System_Process	reproductive system process
nci:Resectable_Duodenal_Carcinoma	resectable duodenal carcinoma
nci:Resectable_Small_Intestinal_Cancer	resectable carcinoma of small bowel <sep> resectable carcinoma of small intestine <sep> resectable carcinoma of the small bowel <sep> resectable carcinoma of the small intestine <sep> resectable small bowel carcinoma <sep> resectable small intestinal cancer <sep> resectable small intestine carcinoma <sep> small intestine carcinoma, resectable
nci:Resectable_Mass	resectable mass
nci:Resectable_Pancreatic_Cancer	pancreatic carcinoma, resectable <sep> resectable carcinoma of pancreas <sep> resectable carcinoma of the pancreas <sep> resectable pancreas carcinoma <sep> resectable pancreatic cancer <sep> resectable pancreatic carcinoma
nci:Resistance_Process	resistance process
nci:Respiratory_Bronchiole	respiratory bronchiole
nci:Respiratory_and_Thoracic_Disorder	respiratory, thoracic and mediastinal disorders <sep> respiratory and thoracic disease <sep> respiratory and thoracic disorder <sep> respiratory, thoracic, and mediastinal disease <sep> respiratory, thoracic, and mediastinal disorder
nci:Rete_Malpighii	rete malpighii <sep> stratum germinativum
nci:Rete_Ovarii	rete ovarii
nci:Rete_Ovarii_Adenocarcinoma	rete ovarii adenocarcinoma
nci:Rete_Ovarii_Neoplasm	rete ovarii neoplasm
nci:Rete_Ovarii_Adenoma	rete ovarii adenoma
nci:Rete_Ovarii_Cystadenofibroma	rete ovarii cystadenofibroma
nci:Rete_Testis	rete testis
nci:Reticular_Cell	reticular cell <sep> reticular cells
nci:Reticular_Fiber	reticular fiber
nci:Reticuloendothelial_System	re system <sep> reticuloendothelial system
nci:Retinal_Artery	retinal artery
nci:Retinal_Neuroblastoma	neuroblastoma of retina <sep> neuroblastoma of the retina <sep> retinal neuroblastoma
nci:Retinal_Pigment_Epithelium	rpe <sep> retinal pigment epithelium
nci:Retinal_Vein	retinal vein
nci:Retired_Kind	retired kind
nci:Retro-Orbit_Neoplasm	neoplasm of retro-orbit <sep> neoplasm of the retro-orbit <sep> retro-orbit neoplasm <sep> retro-orbit tumor <sep> retro-orbital neoplasm <sep> retro-orbital tumor <sep> tumor of retro-orbit <sep> tumor of the retro-orbit
nci:Retro-Orbital_Region	retro-orbital region
nci:Retromolar_Trigone	retromolar trigone
nci:Retroperitoneal	retroperitoneal
nci:Retroperitoneal_Carcinoma	carcinoma of retroperitoneum <sep> carcinoma of the retroperitoneum <sep> retroperitoneal carcinoma
nci:Retroperitoneal_Sarcoma	retroperitoneal sarcoma
nci:Retroperitoneal_Space	retroperitoneal cavity <sep> retroperitoneal space
nci:Rhabdomyocyte	muscle fibers <sep> rhabdomyocyte <sep> skeletal muscle cell
nci:Rhabdomyoma_of_the_Central_Nervous_System	rhabdomyoma of central nervous system <sep> rhabdomyoma of the central nervous system
nci:Rhamnose	6-deoxy-l-mannose <sep> rhamnose
nci:Rheumatologic_Disorder	collagen disease <sep> rheumatologic disorder
nci:Rho_Cell_Motility_Signaling_Pathway	rho cell motility signaling pathway
nci:Rib	rib
nci:Rib_Head	rib head
nci:Rib_Shaft	rib shaft
nci:Rib_Tubercle	rib tubercle
nci:Ribonucleic_Acid	rna <sep> ribonucleic acid
nci:Ribosomal_RNA	ribosomal rna <sep> rrna
nci:Richter_s_Syndrome	richter's syndrome <sep> richter's transformation
nci:Right	right
nci:Right_Adrenal_Gland	right adrenal gland
nci:Right_Atrial_Myxoma	myxoma of right atrium <sep> myxoma of the right atrium <sep> right atrial myxoma
nci:Right_Breast	right breast
nci:Right_Cerebral_Hemisphere	right brain hemisphere <sep> right cerebral hemisphere
nci:Right_Colon	right colon
nci:Right_Common_Carotid_Artery	right common carotid artery
nci:Right_Common_Iliac_Artery	right common iliac artery
nci:Right_Coronary_Artery	right coronary artery
nci:Right_Fallopian_Tube	right fallopian tube
nci:Right_Hepatic_Duct	right hepatic duct
nci:Right_Kidney	right kidney
nci:Right_Main_Bronchus	right main bronchus
nci:Right_Ovary	right ovary
nci:Right_Pulmonary_Artery	right pulmonary artery
nci:Right_Renal_Artery	right renal artery
nci:Right_Renal_Vein	right renal vein
nci:Right_Spermatic_Vein	right internal spermatic vein <sep> right spermatic vein <sep> right testicular vein
nci:Spermatic_Vein	internal spermatic vein <sep> spermatic vein <sep> testicular vein
nci:Right_Subclavian_Artery	right subclavian artery
nci:Right_Subcostal_Vein	right subcostal vein
nci:Right_Suprarenal_Vein	right suprarenal vein
nci:Right_Testis	right testis
nci:Right_Thyroid_Gland_Lobe	right thyroid gland lobe
nci:Right_Ureter	right ureter
nci:Rod	rod <sep> rod cell <sep> rod photoreceptors <sep> rods <sep> rods (eye) <sep> rods (retina)
nci:Rod_Shape	rod <sep> rod shape
nci:Root_of_the_Nail	root of the nail
nci:Rosenthal_Fibers_Present	rosenthal fibers present
nci:Rosette-Forming_Glioneuronal_Tumor_of_the_Fourth_Ventricle	rosette-forming glioneuronal tumor of the fourth ventricle
nci:Rostrum_of_the_Corpus_Callosum	rostrum of the corpus callosum
nci:Shoulder	shoulder
nci:Round_Ligament	round ligament
nci:Round_Ligament_of_the_Liver	round ligament of the liver
nci:Round_Ligament_of_the_Uterus	round ligament of the uterus
nci:S1_Vertebra	s1 vertebra
nci:Sacral_Vertebra	sacral vertebra <sep> sacral vertebrae
nci:S2_Vertebra	s2 vertebra
nci:S3_Vertebra	s3 vertebra
nci:S4_Vertebra	s4 vertebra
nci:S5_Vertebra	s5 vertebra
nci:SELL_Gene	sell <sep> sell gene <sep> selectin l (lymphocyte adhesion molecule 1) gene
nci:SST_Gene	sst <sep> sst gene <sep> somatostatin gene
nci:Vestibular_Labyrinth	vestibular labyrinth
nci:Sacral_Bone	sacral bone
nci:Sacral_Nerve	sacral nerve
nci:Sacral_Plexus	sacral plexus
nci:Sacral_Spinal_Cord	sacral spinal cord
nci:Sacral_Spinal_Nerve_Root	sacral spinal nerve root <sep> sacral spinal nerve roots
nci:Sacrum	s spine <sep> sacral spine <sep> sacrum
nci:Sacrococcygeal_Joint	sacrococcygeal joint
nci:Sacroiliac_Joint	sacroiliac joint
nci:Saliva	head and neck, saliva <sep> saliva
nci:Sarcolemma	sarcolemma
nci:Sarcomatoid_Basal_Cell_Carcinoma	skin sarcomatoid basal cell carcinoma
nci:Sarcomatoid_Squamous_Cell_Carcinoma	epidermoid spindle cell carcinoma <sep> sarcomatoid squamous cell carcinoma <sep> spindle cell (sarcomatoid) squamous cell carcinoma <sep> squamous cell carcinoma, sarcomatoid <sep> squamous cell carcinoma, spindle cell <sep> squamous cell spindle cell carcinoma
nci:Sarcomatoid_Transitional_Cell_Carcinoma	sarcomatoid transitional cell carcinoma <sep> transitional cell spindle cell carcinoma <sep> transitional spindle cell carcinoma
nci:Stage_IV_Soft_Tissue_Sarcoma	stage iv sarcoma of soft tissue <sep> stage iv sarcoma of the soft tissue <sep> stage iv soft tissue sarcoma
nci:Sartorius_Muscle	sartorius <sep> sartorius muscle <sep> tailor's muscle
nci:Scalene_Muscle	scalene muscle
nci:Scalenus_Medius	scalenus medius
nci:Scaphoid_Bone	navicular bone of hand <sep> os scaphoideum <sep> scaphoid <sep> scaphoid bone
nci:Schwann_Cell	neurilemma cell <sep> neurilemmal cell <sep> schwann cell <sep> schwann cells
nci:Thick-Walled_Hyalinized_Vessels_Present	thick-walled hyalinized vessels present
nci:Sheath_of_Schwann	neurilemma <sep> sheath of schwann
nci:Schwannoma_of_the_Twelfth_Cranial_Nerve	hypoglossal nerve neurilemmoma <sep> hypoglossal nerve schwannoma <sep> hypoglossal neurilemmoma <sep> hypoglossal schwannoma <sep> neurilemmoma of hypoglossal nerve <sep> neurilemmoma of twelfth cranial nerve <sep> neurilemmoma of the hypoglossal nerve <sep> neurilemmoma of the twelfth cranial nerve <sep> schwannoma of hypoglossal nerve <sep> schwannoma of twelfth cranial nerve <sep> schwannoma of the hypoglossal nerve <sep> schwannoma of the twelfth cranial nerve <sep> twelfth cranial nerve neurilemmoma <sep> twelfth cranial nerve schwannoma
nci:Sciatic_Nerve	sciatic nerve
nci:Scirrhous_Adenocarcinoma	adenocarcinoma with productive fibrosis <sep> scirrhous adenocarcinoma
nci:Sclerosing_Epithelioid_Fibrosarcoma	sclerosing epithelioid fibrosarcoma
nci:Sclerotic_Fibroma	collagenous fibroma <sep> desmoplastic fibroblastoma <sep> sclerotic fibroma
nci:Scrotal_Basal_Cell_Carcinoma	basal cell carcinoma of scrotum <sep> basal cell carcinoma of the scrotum <sep> scrotal basal cell carcinoma
