Entity-IRI	Entity-Lexicon
snomed:Clinical_history_examination_observable	clinical history examination observable
snomed:Observable_entity	observable entity
snomed:Clitoral_structure	clitoral structure
snomed:Female_genital_organ_structure	female genital organ structure
snomed:Vulval_part	vulval part
snomed:Clitoris_part	clitoris part
snomed:Cluster_of_differentiation_antigen_56_78	cluster of differentiation antigen 56-78
snomed:Lymphocyte_antigen	lymphocyte antigen
snomed:Coagulation_factor	coagulation factor
snomed:Hemostasis_related_substance	hemostasis related substance
snomed:Coagulation_protein	coagulation protein
snomed:Plasma_protein	plasma protein
snomed:Coccygeal_region_structure	coccygeal region structure
snomed:Lower_back_structure	lower back structure
snomed:Coccygeal_vertebra_structure	coccygeal vertebra structure
snomed:Coccyx_finding	coccyx finding
snomed:Finding_of_bone_of_pelvis	finding of bone of pelvis
snomed:Finding_of_vertebra	finding of vertebra
snomed:Cochlear_canal_structure	cochlear canal structure
snomed:Cochlear_duct_structure	cochlear duct structure
snomed:Structure_of_cochlear_part_of_membranous_labyrinth	structure of cochlear part of membranous labyrinth
snomed:Cochlear_nucleus_structure	cochlear nucleus structure
snomed:Inferior_cerebellar_peduncle_structure	inferior cerebellar peduncle structure
snomed:Pontine_cranial_nerve_nucleus	pontine cranial nerve nucleus
snomed:Structure_of_cranial_nerve_nucleus	structure of cranial nerve nucleus
snomed:Membranous_labyrinth_structure	membranous labyrinth structure
snomed:Collagen	collagen
snomed:Hemostatic_agent	hemostatic agent
snomed:Collagen_fiber	collagen fiber
snomed:Connective_tissue_fiber	connective tissue fiber
snomed:Collagen_product	collagen product
snomed:Collagen_type_IV	collagen type iv
snomed:Collateral_ligament_of_knee_joint	collateral ligament of knee joint
snomed:Colon_and_cecum_operations	colon and cecum operations
snomed:Operation_on_colon	operation on colon
snomed:Colonic	colonic
snomed:Intestinal	intestinal
snomed:Structure_of_intestinal_epithelium	structure of intestinal epithelium
snomed:Muscularis_propria	muscularis propria
snomed:Visceral_peritoneum_structure	visceral peritoneum structure
snomed:Gastrointestinal_submucosa_structure	gastrointestinal submucosa structure
snomed:Colostrum	colostrum
snomed:Milk	milk
snomed:Serous_discharge	serous discharge
snomed:Colostrum_specimen	colostrum specimen
snomed:Discharge_specimen	discharge specimen
snomed:Milk_specimen	milk specimen
snomed:Nasal_septum_structure	nasal septum structure
snomed:Columnar_epithelial_cell	columnar epithelial cell
snomed:Epithelial_cell	epithelial cell
snomed:Columnar_epithelium	columnar epithelium
snomed:Epithelium	epithelium
snomed:Combined_disorder_of_muscle_AND_peripheral_nerve	combined disorder of muscle and peripheral nerve
snomed:Disorder_of_skeletal_muscle	disorder of skeletal muscle
snomed:Disorder_of_the_peripheral_nervous_system	disorder of the peripheral nervous system
snomed:Peripheral_nervous_system_structure	peripheral nervous system structure
snomed:Combined_malformation_of_central_nervous_system_and_skeletal_muscle	combined malformation of central nervous system and skeletal muscle
snomed:Congenital_anomaly_of_central_nervous_system	congenital anomaly of central nervous system
snomed:Genital_labium_structure	genital labium structure
snomed:Extrahepatic_duct_structure	extrahepatic duct structure
snomed:Common_carotid_artery_structure	common carotid artery structure
snomed:Supraaortic_branch_of_thoracic_aorta	supraaortic branch of thoracic aorta
snomed:Structure_of_iliac_artery	structure of iliac artery
snomed:Common_iliac_lymph_node_group	common iliac lymph node group
snomed:Iliac_lymph_node_group	iliac lymph node group
snomed:Common_iliac_node	common iliac node
snomed:Structure_of_iliac_lymph_node	structure of iliac lymph node
snomed:Common_interosseous_artery	common interosseous artery
snomed:Compact_bone_structure	compact bone structure
snomed:Complete_transposition_of_great_vessels	complete transposition of great vessels
snomed:Congenital_anomaly_of_pulmonary_artery	congenital anomaly of pulmonary artery
snomed:Complex_structure_derived_from_epithelium	complex structure derived from epithelium
snomed:Component_of_spermatic_cord	component of spermatic cord
snomed:Spermatic_cord_structure	spermatic cord structure
snomed:Composite	composite
snomed:General_adjectival_modifier	general adjectival modifier
snomed:Concha_of_ear_structure	concha of ear structure
snomed:Conducting_pathway	conducting pathway
snomed:Conduction_disorder_of_the_heart	conduction disorder of the heart
snomed:Heart_disease	heart disease
snomed:Cone_of_retina	cone of retina
snomed:Periods_of_life	periods of life
snomed:Congenital_anomaly_of_cervical_vertebra	congenital anomaly of cervical vertebra
snomed:Congenital_anomaly_of_lumbar_vertebra	congenital anomaly of lumbar vertebra
snomed:Congenital_anomaly_of_thoracic_vertebra	congenital anomaly of thoracic vertebra
snomed:Congenital_anomaly_of_calcaneus	congenital anomaly of calcaneus
snomed:Congenital_anomaly_of_the_hand	congenital anomaly of the hand
snomed:Congenital_anomaly_of_fibula	congenital anomaly of fibula
snomed:Congenital_anomaly_of_humerus	congenital anomaly of humerus
snomed:Congenital_anomaly_of_ilium	congenital anomaly of ilium
snomed:Congenital_anomaly_of_ischium	congenital anomaly of ischium
snomed:Congenital_anomaly_of_lacrimal_bone	congenital anomaly of lacrimal bone
snomed:Congenital_anomaly_of_mandible	congenital anomaly of mandible
snomed:Congenital_anomaly_of_maxilla	congenital anomaly of maxilla
snomed:Congenital_anomaly_of_metacarpal_bone	congenital anomaly of metacarpal bone
snomed:Congenital_anomaly_of_metatarsal_bone	congenital anomaly of metatarsal bone
snomed:Metatarsal_bone_structure	metatarsal bone structure
snomed:Congenital_anomaly_of_radius	congenital anomaly of radius
snomed:Congenital_anomaly_of_rib_cartilage	congenital anomaly of rib cartilage
snomed:Structure_of_costal_cartilage	structure of costal cartilage
snomed:Congenital_anomaly_of_talus	congenital anomaly of talus
snomed:Congenital_anomaly_of_tarsal_bone	congenital anomaly of tarsal bone
snomed:Congenital_anomaly_of_ulna	congenital anomaly of ulna
snomed:Congenital_abnormality_of_Eustachian_tube	congenital abnormality of eustachian tube
snomed:Congenital_anomaly_of_middle_ear	congenital anomaly of middle ear
snomed:Eustachian_tube_disorder	eustachian tube disorder
snomed:Eustachian_canal_structure	eustachian canal structure
snomed:Congenital_abnormality_of_ductus_arteriosus	congenital abnormality of ductus arteriosus
snomed:Congenital_anomaly_of_artery	congenital anomaly of artery
snomed:Congenital_anomaly_of_cardiovascular_structure_of_trunk	congenital anomaly of cardiovascular structure of trunk
snomed:Congenital_anomaly_of_thorax	congenital anomaly of thorax
snomed:Disorder_of_blood_vessels_of_thorax	disorder of blood vessels of thorax
snomed:Structure_of_ductus_arteriosus	structure of ductus arteriosus
snomed:Congenital_abnormality_of_external_ear	congenital abnormality of external ear
snomed:Congenital_anomaly_of_ear	congenital anomaly of ear
snomed:Disorder_of_external_ear	disorder of external ear
snomed:External_ear_structure	external ear structure
snomed:Disorder_of_foot	disorder of foot
snomed:Foot_structure	foot structure
snomed:Congenital_abnormality_of_lacrimal_drainage_system	congenital abnormality of lacrimal drainage system
snomed:Congenital_anomaly_of_lacrimal_system	congenital anomaly of lacrimal system
snomed:Lacrimal_drainage_structure	lacrimal drainage structure
snomed:Congenital_abnormality_of_lower_limb_and_pelvic_girdle	congenital abnormality of lower limb and pelvic girdle
snomed:Congenital_disease	congenital disease
snomed:Disorder_by_body_site	disorder by body site
snomed:Finding_of_body_region	finding of body region
snomed:Congenital_abnormality_of_nose_and_nasopharynx	congenital abnormality of nose and nasopharynx
snomed:Congenital_anomaly_of_head	congenital anomaly of head
snomed:Disorder_of_nose_AND_OR_nasopharynx	disorder of nose and or nasopharynx
snomed:Nose_and_nasopharynx_structure	nose and nasopharynx structure
snomed:Congenital_abnormality_of_oral_cavity	congenital abnormality of oral cavity
snomed:Congenital_anomaly_of_mouth	congenital anomaly of mouth
snomed:Disorder_of_body_cavity	disorder of body cavity
snomed:Oral_cavity_finding	oral cavity finding
snomed:Oral_cavity_structure	oral cavity structure
snomed:Disorder_of_salivary_duct	disorder of salivary duct
snomed:Congenital_vascular_disorder	congenital vascular disorder
snomed:Venous_malformation	venous malformation
snomed:Disorder_of_nervous_system	disorder of nervous system
snomed:Congenital_anomaly_of_trunk	congenital anomaly of trunk
snomed:Disorder_of_abdomen	disorder of abdomen
snomed:Congenital_anomaly_of_abdominal_wall	congenital anomaly of abdominal wall
snomed:Congenital_anomaly_of_body_wall	congenital anomaly of body wall
snomed:Disorder_of_abdominal_wall	disorder of abdominal wall
snomed:Congenital_anomaly_of_endocrine_gland	congenital anomaly of endocrine gland
snomed:Disorder_of_adrenal_gland	disorder of adrenal gland
snomed:Congenital_anomaly_of_skull	congenital anomaly of skull
snomed:Congenital_anomaly_of_anterior_chamber_of_eye	congenital anomaly of anterior chamber of eye
snomed:Congenital_anomaly_of_anterior_segment_of_eye	congenital anomaly of anterior segment of eye
snomed:Disorder_of_anterior_chamber_of_eye	disorder of anterior chamber of eye
snomed:Congenital_anomaly_of_eye	congenital anomaly of eye
snomed:Disorder_of_anterior_segment_of_eye	disorder of anterior segment of eye
snomed:Congenital_anomaly_of_anus	congenital anomaly of anus
snomed:Congenital_anomaly_of_perineum	congenital anomaly of perineum
snomed:Disorder_of_aorta	disorder of aorta
snomed:Congenital_anomaly_of_aortic_arch	congenital anomaly of aortic arch
snomed:Disorder_of_mediastinum	disorder of mediastinum
snomed:Congenital_anomaly_of_appendix	congenital anomaly of appendix
snomed:Disorder_of_appendix	disorder of appendix
snomed:Congenital_anomaly_of_azygos_vein	congenital anomaly of azygos vein
snomed:Congenital_anomaly_of_superior_vena_cava	congenital anomaly of superior vena cava
snomed:Congenital_anomaly_of_back	congenital anomaly of back
snomed:Disorder_of_back	disorder of back
snomed:Congenital_anomaly_of_bile_ducts	congenital anomaly of bile ducts
snomed:Congenital_anomaly_of_digestive_organ	congenital anomaly of digestive organ
snomed:Disorder_of_bile_duct	disorder of bile duct
snomed:Congenital_anomaly_of_blood_vessel_of_upper_limb	congenital anomaly of blood vessel of upper limb
snomed:Congenital_anomaly_of_peripheral_blood_vessel	congenital anomaly of peripheral blood vessel
snomed:Vascular_disorder_of_extremity	vascular disorder of extremity
snomed:Disorder_of_body_wall	disorder of body wall
snomed:Congenital_anomaly_of_bone_and_joint	congenital anomaly of bone and joint
snomed:Congenital_anomaly_of_joint	congenital anomaly of joint
snomed:Congenital_anomaly_of_skeletal_bone	congenital anomaly of skeletal bone
snomed:Congenital_anomaly_of_brain	congenital anomaly of brain
snomed:Disorder_of_breast	disorder of breast
snomed:Congenital_anomaly_of_broad_ligament	congenital anomaly of broad ligament
snomed:Congenital_connective_tissue_disorder	congenital connective tissue disorder
snomed:Disorder_of_broad_ligament	disorder of broad ligament
snomed:Congenital_anomaly_of_cardiovascular_system	congenital anomaly of cardiovascular system
snomed:Disorder_of_cardiovascular_system	disorder of cardiovascular system
snomed:Congenital_anomaly_of_carotid_artery	congenital anomaly of carotid artery
snomed:Disorder_of_carotid_artery	disorder of carotid artery
snomed:Disorder_of_wrist_region	disorder of wrist region
snomed:Finding_of_bone_of_upper_limb	finding of bone of upper limb
snomed:Congenital_anomaly_of_cartilage	congenital anomaly of cartilage
snomed:Congenital_anomaly_of_musculoskeletal_system	congenital anomaly of musculoskeletal system
snomed:Congenital_anomaly_of_caudal_vertebra	congenital anomaly of caudal vertebra
snomed:Congenital_anomaly_of_spine	congenital anomaly of spine
snomed:Congenital_anomaly_of_nervous_system	congenital anomaly of nervous system
snomed:Disorder_of_the_central_nervous_system	disorder of the central nervous system
snomed:Congenital_anomaly_of_neck	congenital anomaly of neck
snomed:Congenital_anomaly_of_cervix	congenital anomaly of cervix
snomed:Congenital_uterine_anomaly	congenital uterine anomaly
snomed:Disorder_of_uterine_cervix	disorder of uterine cervix
snomed:Congenital_anomaly_of_choroid	congenital anomaly of choroid
snomed:Congenital_anomaly_of_posterior_segment_of_eye	congenital anomaly of posterior segment of eye
snomed:Disorder_of_choroid_of_eye	disorder of choroid of eye
snomed:Congenital_anomaly_of_cornea	congenital anomaly of cornea
snomed:Disorder_of_cornea	disorder of cornea
snomed:Corneal_structure	corneal structure
snomed:Congenital_anomaly_of_coronary_artery	congenital anomaly of coronary artery
snomed:Disorder_of_coronary_artery	disorder of coronary artery
snomed:Coronary_artery_structure	coronary artery structure
snomed:Congenital_anomaly_of_cricoid_cartilage	congenital anomaly of cricoid cartilage
snomed:Congenital_anomaly_of_larynx	congenital anomaly of larynx
snomed:Osteochondropathy	osteochondropathy
snomed:Cricoid_cartilage_structure	cricoid cartilage structure
snomed:Congenital_anomaly_of_diaphragm	congenital anomaly of diaphragm
snomed:Congenital_anomaly_of_musculoskeletal_structure_of_trunk	congenital anomaly of musculoskeletal structure of trunk
snomed:Disorder_of_diaphragm	disorder of diaphragm
snomed:Diaphragm_structure	diaphragm structure
snomed:Congenital_anomaly_of_digestive_system	congenital anomaly of digestive system
snomed:Disorder_of_digestive_organ	disorder of digestive organ
snomed:Disorder_of_digestive_system	disorder of digestive system
snomed:Congenital_anomaly_of_digestive_tract	congenital anomaly of digestive tract
snomed:Disorder_of_digestive_tract	disorder of digestive tract
snomed:Congenital_anomaly_of_digit	congenital anomaly of digit
snomed:Congenital_anomaly_of_limb	congenital anomaly of limb
snomed:Disorder_of_digit	disorder of digit
snomed:Digit_structure	digit structure
snomed:Congenital_anomaly_of_duodenum	congenital anomaly of duodenum
snomed:Congenital_anomaly_of_small_intestine	congenital anomaly of small intestine
snomed:Congenital_anomaly_of_upper_alimentary_tract	congenital anomaly of upper alimentary tract
snomed:Disorder_of_duodenum	disorder of duodenum
snomed:Disorder_of_ear	disorder of ear
snomed:Disorder_of_endocrine_system	disorder of endocrine system
snomed:Congenital_anomaly_of_endocrine_gonad	congenital anomaly of endocrine gonad
snomed:Disorder_of_endocrine_gonad	disorder of endocrine gonad
snomed:Gonadal_endocrine_structure	gonadal endocrine structure
snomed:Genital_structure	genital structure
snomed:Congenital_anomaly_of_endocrine_ovary	congenital anomaly of endocrine ovary
snomed:Disorder_of_endocrine_ovary	disorder of endocrine ovary
snomed:Ovarian_endocrine_structure	ovarian endocrine structure
snomed:Congenital_anomaly_of_endocrine_testis	congenital anomaly of endocrine testis
snomed:Congenital_anomaly_of_testis	congenital anomaly of testis
snomed:Disorder_of_endocrine_testis	disorder of endocrine testis
snomed:Testicular_endocrine_structure	testicular endocrine structure
snomed:Congenital_anomaly_of_epididymis	congenital anomaly of epididymis
snomed:Disorder_of_testis_and_epididymis	disorder of testis and epididymis
snomed:Epididymis_structure	epididymis structure
snomed:Congenital_anomaly_of_esophagus	congenital anomaly of esophagus
snomed:Congenital_anomaly_of_gastrointestinal_tract	congenital anomaly of gastrointestinal tract
snomed:Disorder_of_esophagus	disorder of esophagus
snomed:Congenital_anomaly_of_external_female_genitalia	congenital anomaly of external female genitalia
snomed:Perineal_finding	perineal finding
snomed:Female_external_genitalia_structure	female external genitalia structure
snomed:Disorder_of_eye_proper	disorder of eye proper
snomed:Structure_of_eye_proper	structure of eye proper
snomed:Congenital_anomaly_of_face	congenital anomaly of face
snomed:Congenital_anomaly_of_ocular_adnexa	congenital anomaly of ocular adnexa
snomed:Disorder_of_eyelid	disorder of eyelid
snomed:Disorder_of_face	disorder of face
snomed:Congenital_anomaly_of_face_bones	congenital anomaly of face bones
snomed:Disorder_of_facial_bone	disorder of facial bone
snomed:Fallopian_tube_disorder	fallopian tube disorder
snomed:Congenital_anomaly_of_genital_system	congenital anomaly of genital system
snomed:Congenital_female_urogenital_anomaly	congenital female urogenital anomaly
snomed:Female_reproductive_system_disorder	female reproductive system disorder
snomed:Female_genital_structure	female genital structure
snomed:Congenital_anomaly_of_femur	congenital anomaly of femur
snomed:Disorder_of_thigh	disorder of thigh
snomed:Congenital_anomaly_of_finger	congenital anomaly of finger
snomed:Disorder_of_finger	disorder of finger
snomed:Finger_structure	finger structure
snomed:Disorder_of_gastrointestinal_tract	disorder of gastrointestinal tract
snomed:Disorder_of_reproductive_system	disorder of reproductive system
snomed:Genital_finding	genital finding
snomed:Genitourinary_congenital_anomalies	genitourinary congenital anomalies
snomed:Congenital_anomaly_of_hair	congenital anomaly of hair
snomed:Congenital_anomaly_of_integument	congenital anomaly of integument
snomed:Disorder_of_head	disorder of head
snomed:Head_structure	head structure
snomed:Congenital_anomaly_of_hyoid_bone	congenital anomaly of hyoid bone
snomed:Disorder_of_hyoid_bone	disorder of hyoid bone
snomed:Congenital_anomaly_of_pelvic_bones	congenital anomaly of pelvic bones
snomed:Disorder_of_ilium	disorder of ilium
snomed:Congenital_anomaly_of_inferior_vena_cava	congenital anomaly of inferior vena cava
snomed:Congenital_anomaly_of_vena_cava	congenital anomaly of vena cava
snomed:Inferior_vena_cava_structure	inferior vena cava structure
snomed:Congenital_anomaly_of_inner_ear	congenital anomaly of inner ear
snomed:Disorder_of_inner_ear	disorder of inner ear
snomed:Inner_ear_structure	inner ear structure
snomed:Disorder_of_integument	disorder of integument
snomed:Structure_of_integumentary_system	structure of integumentary system
snomed:Congenital_anomaly_of_intestinal_tract	congenital anomaly of intestinal tract
snomed:Congenital_anomaly_of_lower_alimentary_tract	congenital anomaly of lower alimentary tract
snomed:Disorder_of_intestine	disorder of intestine
snomed:Congenital_anomaly_of_iris	congenital anomaly of iris
snomed:Disorder_of_iris	disorder of iris
snomed:Iris_structure	iris structure
snomed:Congenital_anomaly_of_jaw	congenital anomaly of jaw
snomed:Disorder_of_jaw	disorder of jaw
snomed:Congenital_anomaly_of_orbit_proper	congenital anomaly of orbit proper
snomed:Disorder_of_lacrimal_bone	disorder of lacrimal bone
snomed:Congenital_anomaly_of_lacrimal_gland	congenital anomaly of lacrimal gland
snomed:Disorder_of_lacrimal_gland	disorder of lacrimal gland
snomed:Disorder_of_lacrimal_system	disorder of lacrimal system
snomed:Lacrimal_structure	lacrimal structure
snomed:Congenital_anomaly_of_upper_respiratory_system	congenital anomaly of upper respiratory system
snomed:Disorder_of_the_larynx	disorder of the larynx
snomed:Laryngeal_structure	laryngeal structure
snomed:Congenital_anomaly_of_lens	congenital anomaly of lens
snomed:Disorder_of_lens	disorder of lens
snomed:Structure_of_lens_of_eye	structure of lens of eye
snomed:Congenital_anomaly_of_lens_shape	congenital anomaly of lens shape
snomed:Disorder_of_extremity	disorder of extremity
snomed:Congenital_anomaly_of_lip	congenital anomaly of lip
snomed:Disorder_of_lip	disorder of lip
snomed:Lip_structure	lip structure
snomed:Disorder_of_lower_gastrointestinal_tract	disorder of lower gastrointestinal tract
snomed:Lower_gastrointestinal_tract_structure	lower gastrointestinal tract structure
snomed:Disorder_of_lower_extremity	disorder of lower extremity
snomed:Lower_limb_structure	lower limb structure
snomed:Congenital_anomaly_of_respiratory_system	congenital anomaly of respiratory system
snomed:Disorder_of_lower_respiratory_system	disorder of lower respiratory system
snomed:Congenital_anomaly_of_lower_trunk	congenital anomaly of lower trunk
snomed:Lower_trunk_structure	lower trunk structure
snomed:Disorder_of_lumbar_spine	disorder of lumbar spine
snomed:Congenital_anomaly_of_lymphatic_structure_of_trunk	congenital anomaly of lymphatic structure of trunk
snomed:Disorder_of_lymphatic_system	disorder of lymphatic system
snomed:Structure_of_lymphatic_system_of_trunk	structure of lymphatic system of trunk
snomed:Congenital_anomaly_of_macula	congenital anomaly of macula
snomed:Congenital_anomaly_of_retina	congenital anomaly of retina
snomed:Disorder_of_macula_of_retina	disorder of macula of retina
snomed:Macula_lutea_structure	macula lutea structure
snomed:Congenital_anomaly_of_male_genital_system	congenital anomaly of male genital system
snomed:Congenital_anomaly_of_male_urogenital_tract	congenital anomaly of male urogenital tract
snomed:Disorder_of_male_genital_organ	disorder of male genital organ
snomed:Male_genital_organ_structure	male genital organ structure
snomed:Male_genitourinary_system_structure	male genitourinary system structure
snomed:Disorder_of_mandible	disorder of mandible
snomed:Disorder_of_maxilla	disorder of maxilla
snomed:Congenital_anomaly_of_membranous_labyrinth	congenital anomaly of membranous labyrinth
snomed:Structural_anomaly_of_the_cochlea_and_vestibular_labyrinth	structural anomaly of the cochlea and vestibular labyrinth
snomed:Finding_of_bone_in_hand	finding of bone in hand
snomed:Finding_of_bone_of_foot	finding of bone of foot
snomed:Disorder_of_middle_ear	disorder of middle ear
snomed:Middle_ear_structure	middle ear structure
snomed:Disorder_of_mouth	disorder of mouth
snomed:Mouth_region_structure	mouth region structure
snomed:Congenital_anomaly_of_myocardium	congenital anomaly of myocardium
snomed:Myocardial_disease	myocardial disease
snomed:Myocardium_structure	myocardium structure
snomed:Congenital_anomaly_of_nail	congenital anomaly of nail
snomed:Disorder_of_nail	disorder of nail
snomed:Nail_structure	nail structure
snomed:Congenital_anomaly_of_nasal_sinuses	congenital anomaly of nasal sinuses
snomed:Disorder_of_nasal_sinus	disorder of nasal sinus
snomed:Nasal_sinus_structure	nasal sinus structure
snomed:Congenital_anomaly_of_nasal_turbinate	congenital anomaly of nasal turbinate
snomed:Disorder_of_nasal_cavity	disorder of nasal cavity
snomed:Nasal_turbinate_finding	nasal turbinate finding
snomed:Nasal_turbinate_structure	nasal turbinate structure
snomed:Disorder_of_neck	disorder of neck
snomed:Disorder_of_the_nose	disorder of the nose
snomed:Nasal_structure	nasal structure
snomed:Disorder_of_ocular_adnexa	disorder of ocular adnexa
snomed:Ocular_adnexa_structure	ocular adnexa structure
snomed:Congenital_anomaly_of_optic_disc	congenital anomaly of optic disc
snomed:Congenital_anomaly_of_optic_nerve	congenital anomaly of optic nerve
snomed:Optic_disc_disorder	optic disc disorder
snomed:Optic_disc_structure	optic disc structure
snomed:Congenital_anomaly_of_visual_system	congenital anomaly of visual system
snomed:Disorder_of_optic_nerve	disorder of optic nerve
snomed:Optic_nerve_structure	optic nerve structure
snomed:Congenital_anomaly_of_oral_mucosa	congenital anomaly of oral mucosa
snomed:Disorder_of_oral_mucous_membrane	disorder of oral mucous membrane
snomed:Disorder_of_orbit_proper	disorder of orbit proper
snomed:Congenital_anomaly_of_organ_of_Corti	congenital anomaly of organ of corti
snomed:Organ_of_Corti_structure	organ of corti structure
snomed:Congenital_anomaly_of_ossicles_of_ear	congenital anomaly of ossicles of ear
snomed:Disorder_of_ear_ossicles	disorder of ear ossicles
snomed:Disorder_of_ovary	disorder of ovary
snomed:Congenital_anomaly_of_palate	congenital anomaly of palate
snomed:Disorder_of_palate	disorder of palate
snomed:Palatal_structure	palatal structure
snomed:Congenital_anomaly_of_pancreas	congenital anomaly of pancreas
snomed:Disorder_of_pancreas	disorder of pancreas
snomed:Disorder_of_parathyroid_gland	disorder of parathyroid gland
snomed:Congenital_anomaly_of_penis	congenital anomaly of penis
snomed:Disorder_of_penis	disorder of penis
snomed:Penile_structure	penile structure
snomed:Peripheral_vascular_disease	peripheral vascular disease
snomed:Peripheral_vascular_system_structure	peripheral vascular system structure
snomed:Congenital_anomaly_of_peripheral_nerve	congenital anomaly of peripheral nerve
snomed:Congenital_anomaly_of_the_peripheral_nervous_system	congenital anomaly of the peripheral nervous system
snomed:Disorder_of_pituitary_gland	disorder of pituitary gland
snomed:Congenital_anomaly_of_prostate	congenital anomaly of prostate
snomed:Disorder_of_prostate	disorder of prostate
snomed:Prostatic_structure	prostatic structure
snomed:Congenital_anomaly_of_pubis	congenital anomaly of pubis
snomed:Disorder_of_pulmonary_circulation	disorder of pulmonary circulation
snomed:Pulmonary_artery_finding	pulmonary artery finding
snomed:Congenital_anomaly_of_pulmonary_veins	congenital anomaly of pulmonary veins
snomed:Pulmonary_vein_finding	pulmonary vein finding
snomed:Disorder_of_forearm	disorder of forearm
snomed:Congenital_anomaly_of_rectum	congenital anomaly of rectum
snomed:Disorder_of_rectum	disorder of rectum
snomed:Congenital_anomaly_of_renal_blood_vessel	congenital anomaly of renal blood vessel
snomed:Renal_vascular_disorder	renal vascular disorder
snomed:Vascular_structure_of_kidney	vascular structure of kidney
snomed:Congenital_anomaly_of_renal_pelvis	congenital anomaly of renal pelvis
snomed:Congenital_anomaly_of_the_urinary_tract_proper	congenital anomaly of the urinary tract proper
snomed:Disorder_of_respiratory_system	disorder of respiratory system
snomed:Structure_of_respiratory_system	structure of respiratory system
snomed:Retinal_disorder	retinal disorder
snomed:Congenital_anomaly_of_thoracic_cage	congenital anomaly of thoracic cage
snomed:Congenital_deformity_of_chest_wall	congenital deformity of chest wall
snomed:Disorder_of_soft_tissue_of_trunk	disorder of soft tissue of trunk
snomed:Congenital_anomaly_of_sacral_vertebra	congenital anomaly of sacral vertebra
snomed:Disorder_of_sacrum	disorder of sacrum
snomed:Sacral_vertebra_structure	sacral vertebra structure
snomed:Disorder_of_salivary_gland	disorder of salivary gland
snomed:Congenital_anomaly_of_scapula	congenital anomaly of scapula
snomed:Disorder_of_shoulder_region	disorder of shoulder region
snomed:Finding_of_scapular_structure	finding of scapular structure
snomed:Congenital_anomaly_of_sclera	congenital anomaly of sclera
snomed:Disorder_of_sclera	disorder of sclera
snomed:Scleral_structure	scleral structure
snomed:Disorder_of_bone_development	disorder of bone development
snomed:Congenital_anomaly_of_skin	congenital anomaly of skin
snomed:Skin_lesion	skin lesion
snomed:Skin_structure	skin structure
snomed:Disorder_of_skull	disorder of skull
snomed:Disorder_of_small_intestine	disorder of small intestine
snomed:Congenital_anomaly_of_spermatic_cord	congenital anomaly of spermatic cord
snomed:Disorder_of_spermatic_cord	disorder of spermatic cord
snomed:Congenital_anomaly_of_spinal_cord	congenital anomaly of spinal cord
snomed:Spinal_cord_disorder	spinal cord disorder
snomed:Spinal_cord_structure	spinal cord structure
snomed:Congenital_anomaly_of_spinal_meninges	congenital anomaly of spinal meninges
snomed:Disorder_of_meninges	disorder of meninges
snomed:Spinal_cord_meninges_structure	spinal cord meninges structure
snomed:Disorder_of_spine	disorder of spine
snomed:Congenital_anomaly_of_the_hematopoietic_system	congenital anomaly of the hematopoietic system
snomed:Disorder_of_spleen	disorder of spleen
snomed:Congenital_anomaly_of_sternocleidomastoid_muscle	congenital anomaly of sternocleidomastoid muscle
snomed:Structure_of_sternocleidomastoid_muscle	structure of sternocleidomastoid muscle
snomed:Congenital_anomaly_of_stomach	congenital anomaly of stomach
snomed:Disorder_of_stomach	disorder of stomach
snomed:Congenital_anomaly_of_subcutaneous_tissue	congenital anomaly of subcutaneous tissue
snomed:Disorder_of_subcutaneous_tissue	disorder of subcutaneous tissue
snomed:Subcutaneous_tissue_structure	subcutaneous tissue structure
snomed:Superior_vena_cava_structure	superior vena cava structure
snomed:Disorder_of_ankle	disorder of ankle
snomed:Disorder_of_testis	disorder of testis
snomed:Disorder_of_urinary_bladder	disorder of urinary bladder
snomed:Congenital_anomaly_of_the_urinary_system	congenital anomaly of the urinary system
snomed:Kidney_disease	kidney disease
snomed:Disorder_of_thymus_gland	disorder of thymus gland
snomed:Disorder_of_thyroid_gland	disorder of thyroid gland
snomed:Disorder_of_the_urinary_system	disorder of the urinary system
snomed:Urinary_system_structure	urinary system structure
snomed:Disorder_of_urinary_tract_proper	disorder of urinary tract proper
snomed:Structure_of_urinary_tract_proper	structure of urinary tract proper
snomed:Disorder_of_thoracic_spine	disorder of thoracic spine
snomed:Congenital_anomaly_of_upper_trunk	congenital anomaly of upper trunk
snomed:Disorder_of_thorax	disorder of thorax
snomed:Congenital_anomaly_of_thyroid_cartilage	congenital anomaly of thyroid cartilage
snomed:Thyroid_cartilage_structure	thyroid cartilage structure
snomed:Congenital_anomaly_of_tibia	congenital anomaly of tibia
snomed:Congenital_anomaly_of_toe	congenital anomaly of toe
snomed:Disorder_of_toe	disorder of toe
snomed:Toe_structure	toe structure
snomed:Congenital_anomaly_of_tongue	congenital anomaly of tongue
snomed:Disorder_of_tongue	disorder of tongue
snomed:Tongue_structure	tongue structure
snomed:Congenital_anomaly_of_tooth	congenital anomaly of tooth
snomed:Disorder_of_trachea	disorder of trachea
snomed:Disorder_of_trunk	disorder of trunk
snomed:Disorder_of_upper_digestive_tract	disorder of upper digestive tract
snomed:Upper_digestive_tract_structure	upper digestive tract structure
snomed:Disorder_of_upper_respiratory_system	disorder of upper respiratory system
snomed:Upper_respiratory_tract_structure	upper respiratory tract structure
