Class-IRI	Class-Text
nci:Central_Nervous_System_Fibrosarcoma	cns fibrosarcoma <sep> central nervous system fibrosarcoma <sep> fibrosarcoma of cns <sep> fibrosarcoma of central nervous system <sep> fibrosarcoma of the cns <sep> fibrosarcoma of the central nervous system
nci:Central_Nervous_System_Hematopoietic_Neoplasm	cns hematopoietic neoplasm <sep> cns hematopoietic tumor <sep> central nervous system hematopoietic neoplasm <sep> central nervous system hematopoietic neoplasms <sep> central nervous system hematopoietic tumor <sep> hematopoietic neoplasm of cns <sep> hematopoietic neoplasm of central nervous system <sep> hematopoietic neoplasm of the cns <sep> hematopoietic neoplasm of the central nervous system <sep> hematopoietic tumor of central nervous system <sep> hematopoietic tumor of the central nervous system <sep> lymphomas and hemopoietic neoplasms of cns <sep> lymphomas and hemopoietic neoplasms of the cns
nci:Hematopoietic_Cell_Neoplasm	hematologic cancer <sep> hematologic malignancy <sep> hematologic neoplasm <sep> hematological neoplasm <sep> hematological tumor <sep> hematological tumors <sep> hematopoietic cancer <sep> hematopoietic cell tumor <sep> hematopoietic neoplasm <sep> hematopoietic neoplasms <sep> hematopoietic neoplasms including lymphomas <sep> hematopoietic tumor <sep> hematopoietic tumors <sep> hematopoietic and lymphoid cell neoplasm <sep> hematopoietic and lymphoid neoplasms <sep> hematopoietic, including myeloma <sep> malignant hematologic neoplasm <sep> malignant hematopoietic neoplasm <sep> hematologic malignancies
nci:Central_Nervous_System_Leukemia	cns leukemia <sep> central nervous system leukemia <sep> leukemia of cns <sep> leukemia of central nervous system <sep> leukemia of the cns <sep> leukemia of the central nervous system
nci:Central_Nervous_System_Lipoma	cns lipoma <sep> central nervous system lipoma <sep> lipoma of cns <sep> lipoma of central nervous system <sep> lipoma of the cns <sep> lipoma of the central nervous system
nci:Central_Nervous_System_Melanocytic_Neoplasm	cns melanocytic neoplasm <sep> cns melanocytic tumor <sep> central nervous system melanocytic neoplasm <sep> central nervous system melanocytic neoplasms <sep> central nervous system melanocytic tumor <sep> melanocytic neoplasm of cns <sep> melanocytic neoplasm of central nervous system <sep> melanocytic neoplasm of the cns <sep> melanocytic neoplasm of the central nervous system <sep> melanocytic tumor of cns <sep> melanocytic tumor of central nervous system <sep> melanocytic tumor of the cns <sep> melanocytic tumor of the central nervous system
nci:Melanocytic_Neoplasm	melanocytic neoplasm
nci:Central_Nervous_System_Melanoma	cns melanoma <sep> central nervous system melanoma <sep> melanoma of cns <sep> melanoma of central nervous system <sep> melanoma of the cns <sep> melanoma of the central nervous system
nci:Central_Nervous_System_Neuroepithelial_Neoplasm_of_Uncertain_Origin	central nervous system neuroepithelial neoplasm of uncertain origin
nci:Neoplasm_of_Uncertain_Histogenesis	neoplasm of uncertain histogenesis <sep> neoplasm of uncertain origin <sep> tumor of uncertain histogenesis <sep> tumor of uncertain origin
nci:Neuroepithelial_Neoplasm	neoplasm of neuroepithelial tissue <sep> neoplasm of neuroepithelium <sep> neoplasm of the neuroepithelium <sep> neuroepithelial neoplasm <sep> neuroepithelial neoplasms <sep> neuroepithelial tissue neoplasm <sep> neuroepithelial tissue tumor <sep> neuroepithelial tumor <sep> neuroepithelial tumors <sep> tumor of neuroepithelial tissue <sep> tumor of neuroepithelium <sep> tumor of the neuroepithelium
nci:Rare_Lesion	rare lesion
nci:Embryonal_Neoplasm_of_the_CNS	cns embryonal neoplasm <sep> cns embryonal tumor <sep> central nervous system embryonal neoplasm <sep> central nervous system embryonal tumor <sep> embryonal neoplasm of cns <sep> embryonal neoplasm of central nervous system <sep> embryonal neoplasm of the cns <sep> embryonal neoplasm of the central nervous system <sep> embryonal tumor of cns <sep> embryonal tumor of central nervous system <sep> embryonal tumor of the cns <sep> embryonal tumor of the central nervous system
nci:Neuroectodermal_Tumor	neuroectodermal neoplasm <sep> neuroectodermal tumor <sep> neuroepithelioma <sep> pnet <sep> primitive neuroectodermal neoplasm <sep> primitive neuroectodermal tumor
nci:Malignant_Central_Nervous_System_Soft_Tissue_Neoplasm	malignant cns soft tissue neoplasm <sep> malignant cns soft tissue tumor <sep> malignant central nervous system soft tissue neoplasm <sep> malignant central nervous system soft tissue tumor <sep> malignant soft tissue neoplasm of cns <sep> malignant soft tissue neoplasm of central nervous system <sep> malignant soft tissue neoplasm of the cns <sep> malignant soft tissue neoplasm of the central nervous system <sep> malignant soft tissue tumor of cns <sep> malignant soft tissue tumor of central nervous system <sep> malignant soft tissue tumor of the cns <sep> malignant soft tissue tumor of the central nervous system <sep> soft tissue cancer of central nervous system <sep> soft tissue cancer of the central nervous system
nci:Central_Sulcus_of_Rolando	central sulcus of rolando
nci:Central_Tendon_of_the_Diaphragm	central tendon of diaphragm <sep> central tendon of the diaphragm
nci:Centriole	centriole
nci:Nonmembranous_Cytoplasmic_Organelle	nonmembranous cytoplasmic organelle
nci:Centrosome	centrosome <sep> mtoc <sep> microtubule-organizing center
nci:Centromedian_Nucleus_of_the_Thalamus	centromedian nucleus of the thalamus
nci:Centromere	centromere
nci:Cytoplasm	cytoplasm <sep> cytoplasmic
nci:Cephalad	cephalad
nci:Cephalic_Vein	cephalic vein
nci:Cerebellar_Astrocytoma	astrocytoma of cerebellum <sep> astrocytoma of the cerebellum <sep> astrocytoma, cerebellar <sep> cerebellar astrocytoma
nci:Cerebellar_Cortex	cerebellar cortex
nci:Cerebellar_Neuronal_and_Mixed_Neuronal-Glial_Tumor	cerebellar neuronal and mixed neuronal-glial tumor <sep> neuronal and mixed neuronal-glial tumor of cerebellum
nci:Cerebellar_Vein	cerebellar vein
nci:Cerebellar_Vermis_Medulloblastoma	cerebellar vermis medulloblastoma <sep> medulloblastoma of cerebellar vermis <sep> medulloblastoma of the cerebellar vermis <sep> vermis medulloblastoma
nci:Malignant_Cerebellar_Neoplasm	cancer of cerebellum <sep> cancer of the cerebellum <sep> cerebellar cancer <sep> cerebellar neoplasm, malignant <sep> cerebellar tumor, malignant <sep> malignant cerebellar neoplasm <sep> malignant cerebellar neoplasms <sep> malignant cerebellar tumor <sep> malignant neoplasm of cerebellum <sep> malignant neoplasm of the cerebellum <sep> malignant tumor of cerebellum <sep> malignant tumor of the cerebellum
nci:Vermis	vermis <sep> vermis of cerebelli
nci:Cerebellopontine_Angle	cerebellopontine angle
nci:Cerebellopontine_Angle_Neoplasm	c-p angle neoplasm <sep> c-p angle tumor <sep> cerebellar pontine angle neoplasm <sep> cerebellar pontine angle tumor <sep> cerebellopontine angle neoplasm <sep> cerebellopontine angle tumor <sep> neoplasm of c-p angle <sep> neoplasm of cerebellar pontine angle <sep> neoplasm of cerebellopontine angle <sep> neoplasm of the c-p angle <sep> neoplasm of the cerebellar pontine angle <sep> neoplasm of the cerebellopontine angle <sep> tumor of c-p angle <sep> tumor of cerebellar pontine angle <sep> tumor of cerebellopontine angle <sep> tumor of the c-p angle <sep> tumor of the cerebellar pontine angle <sep> tumor of the cerebellopontine angle
nci:Cerebellopontine_Angle_Primitive_Neuroectodermal_Tumor	c-p angle pnet <sep> c-p angle primitive neuroectodermal neoplasm <sep> c-p angle primitive neuroectodermal tumor <sep> cerebellar pontine angle pnet <sep> cerebellar pontine angle primitive neuroectodermal neoplasm <sep> cerebellar pontine angle primitive neuroectodermal tumor <sep> cerebellopontine angle pnet <sep> cerebellopontine angle primitive neuroectodermal neoplasm <sep> cerebellopontine angle primitive neuroectodermal tumor <sep> primitive neuroectodermal neoplasm of c-p angle <sep> primitive neuroectodermal neoplasm of cerebellar pontine angle <sep> primitive neuroectodermal neoplasm of cerebellopontine angle <sep> primitive neuroectodermal neoplasm of the c-p angle <sep> primitive neuroectodermal neoplasm of the cerebellar pontine angle <sep> primitive neuroectodermal neoplasm of the cerebellopontine angle <sep> primitive neuroectodermal tumor of c-p angle <sep> primitive neuroectodermal tumor of cerebellar pontine angle <sep> primitive neuroectodermal tumor of cerebellopontine angle <sep> primitive neuroectodermal tumor of the c-p angle <sep> primitive neuroectodermal tumor of the cerebellar pontine angle <sep> primitive neuroectodermal tumor of the cerebellopontine angle
nci:Malignant_Infratentorial_Neoplasm	infratentorial neoplasms, malignant <sep> malignant infratentorial neoplasm <sep> malignant infratentorial tumor <sep> malignant infratentorial tumors
nci:Epencephalon	epencephalon
nci:Cerebellum_White_Matter	cerebellum white matter
nci:Cerebral_Aqueduct	cerebral aqueduct
nci:Cerebral_Astrocytoma	astrocytoma of cerebral hemispheres <sep> astrocytoma of cerebrum <sep> astrocytoma of the cerebral hemispheres <sep> astrocytoma of the cerebrum <sep> cerebral astrocytoma <sep> cerebral hemispheric astrocytoma
nci:Cerebral_Dura_Mater	brain dura mater
nci:Dura_Mater	dura <sep> dura mater
nci:Cerebral_Fissure	cerebral fissure
nci:Cerebral_Gray_Matter	brain gray matter
nci:Gray_Matter	gray matter
nci:Cerebral_Hemangioma	angioma of cerebral hemispheres <sep> angioma of cerebrum <sep> angioma of the cerebral hemispheres <sep> angioma of the cerebrum <sep> cerebral angioma <sep> cerebral hemangioma <sep> cerebral hemispheric angioma <sep> cerebral hemispheric hemangioma <sep> hemangioma of cerebral hemispheres <sep> hemangioma of cerebrum <sep> hemangioma of the cerebral hemispheres <sep> hemangioma of the cerebrum
nci:Fore-Brain	fore-brain <sep> forebrain
nci:Cerebral_Hemisphere_Lipoma	cerebral hemisphere lipoma <sep> lipoma of cerebral hemisphere <sep> lipoma of the cerebral hemisphere
nci:Intracranial_Lipoma	intracranial lipoma
nci:Cerebral_Peduncle	cerebral peduncle
nci:Cerebral_Primitive_Neuroectodermal_Tumor	cerebral hemisphere pnet <sep> cerebral hemisphere primitive neuroectodermal neoplasm <sep> cerebral hemisphere primitive neuroectodermal tumor <sep> cerebral pnet <sep> cerebral primitive neuroectodermal neoplasm <sep> cerebral primitive neuroectodermal tumor <sep> pnet of cerebral hemispheres <sep> pnet of cerebrum <sep> pnet of the cerebral hemispheres <sep> pnet of the cerebrum <sep> primitive neuroectodermal neoplasm of cerebral hemispheres <sep> primitive neuroectodermal neoplasm of cerebrum <sep> primitive neuroectodermal neoplasm of the cerebral hemispheres <sep> primitive neuroectodermal neoplasm of the cerebrum <sep> primitive neuroectodermal tumor of cerebral hemispheres <sep> primitive neuroectodermal tumor of cerebrum <sep> primitive neuroectodermal tumor of the cerebral hemispheres <sep> primitive neuroectodermal tumor of the cerebrum
nci:Malignant_Cerebral_Neoplasm	cerebral cancer <sep> malignant cerebral hemispheric neoplasm <sep> malignant cerebral hemispheric tumor <sep> malignant cerebral neoplasm <sep> malignant cerebral tumor <sep> malignant neoplasm of cerebral hemispheres <sep> malignant neoplasm of cerebrum <sep> malignant neoplasm of the cerebral hemispheres <sep> malignant neoplasm of the cerebrum <sep> malignant tumor of cerebral hemispheres <sep> malignant tumor of cerebrum <sep> malignant tumor of the cerebral hemispheres <sep> malignant tumor of the cerebrum
nci:Cerebral_Vein	cerebral vein
nci:Cerebral_White_Matter	cerebral white matter
nci:Cerebrospinal_Fluid	csf <sep> cerebrospinal fluid
nci:Cerumen	cerumen <sep> earwax
nci:Cervical_Carcinoma	cancer of cervix <sep> cancer of uterine cervix <sep> cancer of the cervix <sep> cancer of the uterine cervix <sep> carcinoma of cervix <sep> carcinoma of cervix uteri <sep> carcinoma of uterine cervix <sep> carcinoma of the cervix <sep> carcinoma of the cervix uteri <sep> carcinoma of the uterine cervix <sep> cervical cancer <sep> cervical carcinoma <sep> cervix cancer <sep> cervix carcinoma <sep> cervix uteri carcinoma <sep> uterine cervix cancer <sep> uterine cervix carcinoma
nci:Cervical_Glandular_Neoplasm	cervical glandular neoplasm <sep> cervical glandular tumor
nci:Cervical_Adenoid_Basal_Carcinoma	cervical adenoid basal carcinoma
nci:Malignant_Hyperchromatic_Small_Epithelial_Cell	malignant hyperchromatic small epithelial cell
nci:Cord-Like_Pattern	cord-like pattern
nci:Cervical_Artery	cervical artery
nci:Cervical_Blue_Nevus	blue nevus of the cervix <sep> cervical blue nevus
nci:Nevus_of_External_Female_Genitalia	nevus of female genitalia
nci:Malignant_Cervical_Neoplasm	malignant cervical neoplasm <sep> malignant cervical tumor <sep> malignant cervix neoplasm <sep> malignant cervix tumor <sep> malignant cervix uteri neoplasm <sep> malignant cervix uteri tumor <sep> malignant neoplasm of cervix <sep> malignant neoplasm of cervix uteri <sep> malignant neoplasm of uterine cervix <sep> malignant neoplasm of the cervix <sep> malignant neoplasm of the cervix uteri <sep> malignant neoplasm of the uterine cervix <sep> malignant tumor of cervix <sep> malignant tumor of cervix uteri <sep> malignant tumor of uterine cervix <sep> malignant tumor of the cervix <sep> malignant tumor of the cervix uteri <sep> malignant tumor of the uterine cervix <sep> malignant uterine cervix neoplasm <sep> malignant uterine cervix tumor
nci:ERBB2_Gene_Amplification	erbb2 gene amplification <sep> her-2 gene amplification <sep> c-erbb2 gene activation <sep> c-erbb2 gene amplification
nci:FHIT_Tumor-Suppressor_Gene_Inactivation	fhit gene inactivation <sep> fhit tumor-suppressor gene inactivation
nci:TP53_Tumor-Suppressor_Gene_Inactivation	inactivation of p53 tumor-suppressor gene <sep> p53 tumor-suppressor gene inactivation <sep> tp53 gene inactivation <sep> tp53 tumor-suppressor gene inactivation
nci:c-myc_Gene_Amplification	myc gene amplification <sep> c-myc gene activation <sep> c-myc gene amplification
nci:Cervix_Epithelium	cervix epithelium
nci:Cervical_Disorder	cervical disorder
nci:Uterine_Disorder	uterine disease <sep> uterine disorder
nci:Cervical_Esophagus	cervical esophagus
nci:Cervical_Gland	cervical gland
nci:Cervical_Lymph_Node	cervical lymph node
nci:Cervical_Lymphadenopathy	cervical lymphadenopathy
nci:Cervical_Mullerian_Papilloma	cervical mullerian papilloma
nci:Papilloma	papilloma
nci:Squamous_Metaplasia	squamous metaplasia
nci:Cervical_Nerve	cervical nerve
nci:Spinal_Nerve	spinal nerve <sep> spinal nerves
nci:Cervical_Rhabdomyoma	cervical rhabdomyoma
nci:Cervical_Soft_Tissue_Neoplasm	cervical soft tissue neoplasm <sep> cervical soft tissue tumor
nci:Genital_Rhabdomyoma	genital rhabdomyoma
nci:Cervical_Spinal_Cord	cervical portion of spinal cord <sep> cervical spinal cord
nci:Cervical_Spinal_Nerve_Root	cervical spinal nerve root <sep> cervical spinal nerve roots
nci:Cervical_Spine	c spine <sep> cervical spine
nci:Vertebral_Column	spinal column <sep> spine <sep> vertebral column
nci:Cervical_Squamous_Neoplasm	cervical squamous neoplasm <sep> cervical squamous tumor
nci:Cervical_Symmetrical_Lipomatosis	cervical symmetrical lipomatosis
nci:Lipomatosis	launois-bensaude syndrome <sep> lipomatosis <sep> madelung disease <sep> madelung's disease
nci:Cervical_Wilms_Tumor	cervical wilms tumor <sep> cervical wilms' tumor
nci:Wilms_Tumor	wilms tumor <sep> wilms' tumor
nci:Cervicomedullary_Junction	cervico-medullary junction <sep> cervicomedullary junction
nci:Cervicomedullary_Junction_Neoplasm	cervicomedullary junction neoplasm <sep> cervicomedullary junction neoplasms <sep> cervicomedullary junction tumor <sep> neoplasm of cervicomedullary junction <sep> neoplasm of the cervicomedullary junction <sep> tumor of cervicomedullary junction <sep> tumor of the cervicomedullary junction
nci:Character	character
nci:Data_Type	data type <sep> datatype
nci:Characteristics	characteristic <sep> characteristics <sep> feature
nci:Properties_or_Attributes	property or attribute
nci:Cheek	cheek
nci:Head_and_Neck_Part	head and neck part
nci:Chelating_Activity	chelating <sep> chelating activity <sep> chelation
nci:Molecular_Interaction	binding <sep> molecular interaction <sep> physical interaction
nci:Chemical_Synapse	chemical synapse
nci:Chemical_Synapse_Component	chemical synapse component
nci:Chemo_Immunostimulant_Adjuvant	chemo immunostimulant adjuvant <sep> chemo immunostimulant adjuvants
nci:Immunoadjuvant	adjuvants, immunologic <sep> immunoadjuvant <sep> immunologic adjuvant <sep> immunologic adjuvants <sep> immune adjuvant <sep> immunological adjuvant
nci:Cytokine	cytokine <sep> cytokines
nci:Development	development <sep> developmental
nci:Chest_Wall	chest wall
nci:Chiasma	chiasma
nci:Chiasmatic_Cistern	chiasmatic cistern
nci:Chief_Cell	chief cell <sep> chief cells
nci:Specialized_Epithelial_Cell	epithelial cells, specialized <sep> specialized epithelial cell <sep> specialized epithelial cells
nci:Chief_Cell_of_the_Stomach	chief cell (stomach) <sep> chief cell of the stomach <sep> chief cells, gastric
nci:Gastric_Glandular_Cell	gastric glandular cell
nci:Fundic_Gland	fundic gland <sep> gastric gland
nci:Gut_Epithelium	gut epithelium
nci:Childhood_Angiosarcoma	childhood angiosarcoma <sep> childhood hemangiosarcoma <sep> pediatric angiosarcoma <sep> pediatric hemangiosarcoma
nci:Childhood_Soft_Tissue_Sarcoma	childhood sarcoma of soft tissue <sep> childhood sarcoma of the soft tissue <sep> childhood soft tissue sarcoma <sep> pediatric sarcoma of soft tissue <sep> pediatric sarcoma of the soft tissue <sep> pediatric soft tissue sarcoma
nci:Childhood_Astrocytic_Tumor	astrocytic tumors, childhood <sep> childhood astrocytic neoplasm <sep> childhood astrocytic tumor <sep> childhood astrocytic tumour <sep> pediatric astrocytic neoplasm <sep> pediatric astrocytic tumor
nci:Childhood_Brain_Germ_Cell_Neoplasm	childhood brain germ cell neoplasm <sep> childhood brain germ cell tumor <sep> childhood germ cell brain neoplasm <sep> childhood germ cell brain tumor <sep> germ cell neoplasm of childhood brain <sep> germ cell neoplasm of pediatric brain <sep> germ cell neoplasm of the childhood brain <sep> germ cell neoplasm of the pediatric brain <sep> germ cell tumor of childhood brain <sep> germ cell tumor of pediatric brain <sep> germ cell tumor of the childhood brain <sep> germ cell tumor of the pediatric brain <sep> pediatric brain germ cell neoplasm <sep> pediatric brain germ cell tumor
nci:Childhood_Central_Nervous_System_Germ_Cell_Neoplasm	childhood cns germ cell neoplasm <sep> childhood cns germ cell tumor <sep> childhood central nervous system germ cell neoplasm <sep> childhood central nervous system germ cell tumor <sep> childhood germ cell neoplasm of cns <sep> childhood germ cell neoplasm of central nervous system <sep> childhood germ cell neoplasm of the cns <sep> childhood germ cell neoplasm of the central nervous system <sep> childhood germ cell tumor of cns <sep> childhood germ cell tumor of central nervous system <sep> childhood germ cell tumor of the cns <sep> childhood germ cell tumor of the central nervous system <sep> pediatric cns germ cell neoplasm <sep> pediatric cns germ cell tumor <sep> pediatric central nervous system germ cell neoplasm <sep> pediatric central nervous system germ cell tumor <sep> pediatric germ cell neoplasm of cns <sep> pediatric germ cell neoplasm of central nervous system <sep> pediatric germ cell neoplasm of the cns <sep> pediatric germ cell neoplasm of the central nervous system <sep> pediatric germ cell tumor of cns <sep> pediatric germ cell tumor of central nervous system <sep> pediatric germ cell tumor of the cns <sep> pediatric germ cell tumor of the central nervous system
nci:Childhood_Intracranial_Neoplasm	childhood intracranial neoplasm
nci:Childhood_Brain_Stem_Astrocytoma	childhood brain stem astrocytoma <sep> childhood brainstem astrocytoma
nci:Childhood_Brain_Stem_Glioma	childhood brain stem glioma <sep> childhood brainstem glioma <sep> childhood glioma of brain stem <sep> childhood glioma of brainstem <sep> childhood glioma of the brain stem <sep> childhood glioma of the brainstem <sep> pediatric brain stem glioma <sep> pediatric brainstem glioma <sep> pediatric glioma of brain stem <sep> pediatric glioma of brainstem <sep> pediatric glioma of the brain stem <sep> pediatric glioma of the brainstem
nci:Childhood_Brain_Stem_Neoplasm	childhood brain stem neoplasm <sep> childhood brain stem tumor <sep> childhood brainstem neoplasm <sep> childhood brainstem tumor <sep> childhood neoplasm of brain stem <sep> childhood neoplasm of brainstem <sep> childhood neoplasm of the brain stem <sep> childhood neoplasm of the brainstem <sep> childhood tumor of brain stem <sep> childhood tumor of brainstem <sep> childhood tumor of the brain stem <sep> childhood tumor of the brainstem <sep> pediatric brain stem neoplasm <sep> pediatric brain stem tumor <sep> pediatric brainstem neoplasm <sep> pediatric brainstem tumor <sep> pediatric neoplasm of brain stem <sep> pediatric neoplasm of brainstem <sep> pediatric neoplasm of the brain stem <sep> pediatric neoplasm of the brainstem <sep> pediatric tumor of brain stem <sep> pediatric tumor of brainstem <sep> pediatric tumor of the brain stem <sep> pediatric tumor of the brainstem
nci:Childhood_Infratentorial_Neoplasm	childhood infratentorial neoplasm <sep> childhood infratentorial neoplasms <sep> childhood infratentorial tumor <sep> childhood infratentorial tumors <sep> pediatric infratentorial neoplasm <sep> pediatric infratentorial tumor
nci:Malignant_Childhood_Central_Nervous_System_Neoplasm	childhood malignant cns neoplasms <sep> childhood malignant cns tumors <sep> childhood malignant central nervous system neoplasms <sep> childhood malignant central nervous system tumors <sep> malignant central nervous system neoplasms of childhood <sep> malignant central nervous system tumors of childhood <sep> malignant childhood cns neoplasm <sep> malignant childhood cns tumor <sep> malignant childhood central nervous system neoplasm <sep> malignant childhood central nervous system neoplasms <sep> malignant childhood central nervous system tumor <sep> malignant childhood central nervous system tumors <sep> malignant childhood neoplasm of cns <sep> malignant childhood neoplasm of central nervous system <sep> malignant childhood neoplasm of the cns <sep> malignant childhood neoplasm of the central nervous system <sep> malignant childhood tumor of cns <sep> malignant childhood tumor of central nervous system <sep> malignant childhood tumor of the cns <sep> malignant childhood tumor of the central nervous system <sep> malignant pediatric cns neoplasm <sep> malignant pediatric cns tumor <sep> malignant pediatric central nervous system neoplasm <sep> malignant pediatric central nervous system tumor <sep> malignant pediatric neoplasm of cns <sep> malignant pediatric neoplasm of central nervous system <sep> malignant pediatric neoplasm of the cns <sep> malignant pediatric neoplasm of the central nervous system <sep> malignant pediatric tumor of cns <sep> malignant pediatric tumor of central nervous system <sep> malignant pediatric tumor of the cns <sep> malignant pediatric tumor of the central nervous system
nci:Childhood_Neoplasm	childhood neoplasm <sep> childhood tumor <sep> childhood tumors <sep> pediatric neoplasm <sep> pediatric tumor <sep> pediatric tumors
nci:Childhood_Central_Nervous_System_Primitive_Neuroectodermal_Tumor	childhood cns pnet <sep> childhood cns primitive neuroectodermal neoplasm <sep> childhood cns primitive neuroectodermal tumor <sep> childhood central nervous system pnet <sep> childhood central nervous system primitive neuroectodermal neoplasm <sep> childhood central nervous system primitive neuroectodermal tumor <sep> childhood central primitive neuroectodermal neoplasm <sep> childhood central primitive neuroectodermal tumor <sep> pediatric cns pnet <sep> pediatric cns primitive neuroectodermal neoplasm <sep> pediatric cns primitive neuroectodermal tumor <sep> pediatric central nervous system primitive neuroectodermal neoplasm <sep> pediatric central nervous system primitive neuroectodermal tumor <sep> pediatric central primitive neuroectodermal neoplasm <sep> pediatric central primitive neuroectodermal tumor
nci:Childhood_Cerebellar_Astrocytoma	childhood astrocytoma of cerebellum <sep> childhood astrocytoma of the cerebellum <sep> childhood cerebellar astrocytoma <sep> pediatric astrocytoma of cerebellum <sep> pediatric astrocytoma of the cerebellum <sep> pediatric cerebellar astrocytoma
nci:Childhood_Cerebellar_Neoplasm	childhood cerebellar neoplasm <sep> childhood cerebellar neoplasms <sep> childhood cerebellar tumor <sep> childhood cerebellar tumors <sep> childhood neoplasm of cerebellum <sep> childhood neoplasm of the cerebellum <sep> childhood tumor of cerebellum <sep> childhood tumor of the cerebellum <sep> pediatric cerebellar neoplasm <sep> pediatric cerebellar tumor <sep> pediatric neoplasm of cerebellum <sep> pediatric neoplasm of the cerebellum <sep> pediatric tumor of cerebellum <sep> pediatric tumor of the cerebellum
nci:Childhood_Cerebral_Astrocytoma	childhood astrocytoma of cerebrum <sep> childhood astrocytoma of the cerebrum <sep> childhood cerebral astrocytoma <sep> pediatric astrocytoma of cerebrum <sep> pediatric astrocytoma of the cerebrum <sep> pediatric cerebral astrocytoma
nci:Childhood_Cerebral_Ependymoblastoma	childhood cerebral ependymoblastoma <sep> pediatric cerebral ependymoblastoma
nci:Childhood_Supratentorial_Ependymoblastoma	childhood supratentorial ependymoblastoma <sep> pediatric supratentorial ependymoblastoma
nci:Childhood_Diffuse_Large_B_Cell_Lymphoma	childhood diffuse large b -cell lymphoma <sep> pediatric diffuse large b cell lymphoma
nci:Childhood_Non-Hodgkin_s_Lymphoma	childhood non-hodgkin lymphoma <sep> childhood non-hodgkin's lymphoma <sep> pediatric non-hodgkin lymphoma <sep> pediatric non-hodgkin's lymphoma
nci:Childhood_Extracranial_Germ_Cell_Tumor	childhood extracranial germ cell tumor
nci:Childhood_Fibrosarcoma	childhood fibrosarcoma <sep> pediatric fibrosarcoma
nci:Malignant_Childhood_Neoplasm	childhood cancer <sep> malignant childhood neoplasm <sep> malignant childhood tumor <sep> malignant pediatric neoplasm <sep> malignant pediatric tumor <sep> pediatric cancer
nci:Childhood_Hematopoietic_Neoplasm	childhood hematopoietic neoplasm
nci:Childhood_Hepatic_Neoplasm	childhood hepatic neoplasm <sep> childhood liver neoplasm
nci:Hepatic_and_Intrahepatic_Bile_Duct_Neoplasm	hepatic and intrahepatic bile duct neoplasm
nci:Childhood_Hodgkin_s_Lymphoma	childhood hd <sep> childhood hodgkin lymphoma <sep> childhood hodgkin's disease <sep> childhood hodgkin's lymphoma <sep> pediatric hd <sep> pediatric hodgkin's disease <sep> pediatric hodgkin's lymphoma
nci:Childhood_Lymphoma	childhood lymphoma <sep> pediatric lymphoma
nci:Childhood_Infratentorial_Ependymoblastoma	childhood infratentorial ependymoblastoma <sep> pediatric infratentorial ependymoblastoma
nci:Childhood_Leptomeningeal_Melanoma	childhood leptomeningeal melanoma <sep> pediatric leptomeningeal melanoma
nci:Childhood_Lesion	childhood lesion <sep> lesion arising during childhood <sep> lesion arising in childhood <sep> pediatric lesion
nci:Childhood_Leukemia	childhood leukemia
nci:Childhood_Liposarcoma	childhood liposarcoma <sep> pediatric liposarcoma
nci:Childhood_Mature_T-and_NK-Cell_Lymphoma	childhood mature t- and nk-cell lymphoma <sep> childhood peripheral t cell lymphoma <sep> pediatric peripheral t cell lymphoma
nci:Mature_T-Cell_and_NK-Cell_Non-Hodgkin_s_Lymphoma	mature t-cell non-hodgkin's lymphoma <sep> mature t-cell and nk-cell lymphoma <sep> mature t-cell and nk-cell non-hodgkin lymphoma <sep> mature t-cell and nk-cell non-hodgkin's lymphoma <sep> mature t-and nk-cell lymphoma <sep> ptcl <sep> peripheral t-cell lymphoma
nci:Childhood_Medulloblastoma	childhood medulloblastoma <sep> pediatric medulloblastoma
nci:Neoplasm_by_Special_Category	neoplasm by special category
nci:Childhood_Spinal_Cord_Neoplasm	childhood spinal cord neoplasm <sep> childhood spinal cord tumor
nci:Childhood_Visual_Pathway_Astrocytoma	childhood optic tract astrocytoma <sep> childhood visual pathway astrocytoma <sep> pediatric optic tract astrocytoma <sep> pediatric visual pathway astrocytoma
nci:Childhood_Visual_Pathway_Glioma	childhood optic tract glioma <sep> childhood visual pathway glioma <sep> glioma of childhood visual pathway <sep> glioma of pediatric visual pathway <sep> glioma of the childhood visual pathway <sep> glioma of the pediatric visual pathway <sep> pediatric optic tract glioma <sep> pediatric visual pathway glioma
nci:Visual_Pathway_Astrocytoma	optic tract astrocytoma <sep> visual pathway astrocytoma
nci:Visual_Pathway_Glioma	glioma of optic tract <sep> glioma of visual pathway <sep> glioma of the optic tract <sep> glioma of the visual pathway <sep> optic tract glioma <sep> visual pathway glioma
nci:Chondroblast	chondroblast
nci:Chondrocranium	chondrocranium
nci:Embryonic_Muskuloskeletal_System	embryonic muskuloskeletal system
nci:Chondrocyte	chondrocyte <sep> chondrocytes
nci:Hyaline_Cartilage	hyaline cartilage
nci:Mesenchymal_Cell_Neoplasm	mesenchymal cell neoplasm <sep> mesenchymal cell tumor <sep> mesenchymal neoplasm <sep> mesenchymal tumor
nci:Neoplastic_Cartilage_Cell	neoplastic cartilage cell
nci:Chondroitin_Sulfate	chondroitin <sep> chondroitin sulfate
nci:Glycosaminoglycan	glycosaminoglycan
