Entity-IRI	Entity-Lexicon
fma:Supraspinatus	supraspinatus <sep> musculus supraspinatus
fma:Sural_artery	sural artery
fma:Surface	2-d entity <sep> surface
fma:Surface_of_bone	bone surface <sep> surface of bone
fma:Surface_of_organ	organ surface <sep> surface of organ
fma:Surface_of_region_of_wall_of_eyeball	surface of region of wall of eyeball
fma:Surface_of_organ_region	surface of organ region <sep> surface of region of organ
fma:Surface_of_prostate	prostatic surface <sep> surface of prostate <sep> surface of prostate gland
fma:Surface_of_subdivision_of_principal_body_part	principal body part subdivision surface <sep> surface of subdivision of principal body part
fma:Sweat	sweat
fma:Sweat_gland_of_eyelid	ciliary gland <sep> ciliary gland of moll <sep> ciliary sweat gland of eyelid <sep> gland of moll <sep> moll's gland <sep> sweat gland of eyelid
fma:Sympathetic_nervous_system	sympathetic nervous system <sep> sympathetic part of autonomic division of nervous system <sep> pars sympathica divisionis autonomici systematis nervosi
fma:Syncytial_trophoblast	syncytial trophoblast <sep> syncytiotrophoblast
fma:Synovial_bursa	bursa <sep> synovial bursa <sep> bursa synovialis
fma:Synovial_sac	synovial sac
fma:Synovial_fluid	joint fluid <sep> synovial fluid <sep> synovia
fma:Synovial_membrane	synovial layer <sep> synovial membrane <sep> membrana synovialis <sep> stratum synoviale
fma:Synoviocyte	hyaluronic acid secreting cell <sep> synovial cell <sep> synoviocyte
fma:T_cytotoxic_cell	cytotoxic t cell <sep> cytotoxic t lymphocyte <sep> cytotoxic t-lymphocyte <sep> killer t cell <sep> killer t lymphocyte <sep> t-cytotoxic cell
fma:T_helper_cell_type_1	t-helper cell type 1 <sep> th1 cell <sep> type 1 t-helper cell <sep> type 1 helper cell
fma:T_helper_lymphocyte	helper t cell <sep> helper t lymphocyte <sep> helper t-lymphocyte <sep> t-helper cell <sep> t-helper lymphocyte
fma:T_helper_cell_type_2	t-helper cell type 2 <sep> th2 cell <sep> type 2 t-helper cell <sep> type 2 helper cell
fma:Tail_of_epididymis	epididymal tail <sep> epididymis tail <sep> tail of epididymis <sep> cauda epididymidis
fma:Tail_of_pancreas	left extremity of pancreas <sep> pancreatic tail <sep> tail of pancreas <sep> cauda pancreatis
fma:Talocalcaneal_joint	subtalar joint <sep> talocalcaneal joint <sep> articulatio subtalaris <sep> articulatio talocalcanea
fma:Talus	talus
fma:Tarsal_gland	gland of meibom <sep> meibomian gland <sep> tarsal gland
fma:Tarsal_plate_of_eyelid	tarsal plate <sep> tarsal plate of eyelid
fma:Tear	tear
fma:Tectal_plate	quadrigeminal plate <sep> tectal plate <sep> lamina quadrigemina <sep> lamina tecti
fma:Tectorial_membrane_of_cochlea	tectorial membrane <sep> tectorial membrane of cochlea <sep> tectorial membrane of spiral organ of cochlea
fma:Temporal_bone	temporal bone <sep> os temporale
fma:Temporal_fossa	temporal fossa <sep> fossa temporalis
fma:Temporal_lobe	temporal cortex <sep> temporal lobe <sep> lobus temporalis
fma:Temporalis	temporal muscle <sep> temporalis <sep> musculus temporalis
fma:Temporomandibular_joint	temporomandibular joint <sep> articulatio temporomandibularis
fma:Tendinous_cuff	musculotendinous cuff <sep> rotator cuff <sep> tendinous cuff
fma:Tensor_fasciae_latae	tensor fasciae latae <sep> tensor of fascia lata <sep> musculus tensor fasciae latae
fma:Tensor_tympani	eustachian muscle <sep> tensor tympani <sep> musculus tensor tympani
fma:Tenth_thoracic_vertebra	t10 vertebra <sep> tenth dorsal vertebra <sep> tenth thoracic vertebra
fma:Tentorium_cerebelli	cerebellar tentorium <sep> tentorium cerebelli
fma:Teres_major	teres major <sep> teres major muscle <sep> musculus teres major
fma:Teres_minor	teres minor <sep> teres minor muscle <sep> musculus teres minor
fma:Tertiary_follicle_of_ovary	folliculus ovaricus tertiarius (vesiculosus) <sep> graafian follicle <sep> tertiary follicle of ovary <sep> vesicular follicle of ovary <sep> vesicular ovarian follicle <sep> folliculi ovarici vesiculosi
fma:Thalamus	dorsal thalamus <sep> dorsal thalamus (anthoney) <sep> thalamus
fma:Thigh	proximal segment of free lower limb <sep> thigh
fma:Third_cervical_vertebra	c3 vertebra <sep> third cervical vertebra
fma:Third_lumbar_vertebra	l3 vertebra <sep> third lumbar vertebra
fma:Third_sacral_vertebra	s3 vertebra <sep> third sacral segment <sep> third sacral vertebra <sep> third segment of sacrum
fma:Third_thoracic_vertebra	t3 vertebra <sep> third dorsal vertebra <sep> third thoracic vertebra
fma:Third_ventricle	third ventricle <sep> ventriculus tertius
fma:Thoracic_aorta	thoracic aorta <sep> thoracic part of aorta <sep> aorta thoracica <sep> pars thoracica aortae
fma:Thoracic_cavity	cavity of chest <sep> cavity of thorax <sep> chest cavity <sep> pectoral cavity <sep> space of thoracic compartment <sep> thoracic cavity <sep> cavitas thoracis
fma:Thoracic_duct	thoracic duct <sep> trunk of thoracic duct tree <sep> ductus thoracicus
fma:Thoracic_ganglion	thoracic ganglion <sep> thoracic paravertebral ganglion <sep> thoracic splanchnic ganglion <sep> thoracic sympathetic ganglion <sep> ganglia thoracica <sep> ganglion thoracicum splanchnicum
fma:Thoracic_part_of_esophagus	thoracic esophagus <sep> thoracic part of esophagus <sep> thoracic part of oesophagus <sep> pars thoracica (oesophagus) <sep> pars thoracica oesophageae
fma:Thoracic_vertebral_column	columna vertebralis thoracicus <sep> thoracic spine <sep> thoracic vertebral column
fma:Thoracic_wall	thoracic wall
fma:Thoraco_acromial_artery	acromiothoracic artery <sep> thoraco-acromial artery <sep> thoracoacromial artery <sep> arteria thoracoacromialis
fma:Thorax	chest <sep> thorax
fma:Threonine	threonine
fma:Throat	throat
fma:Thrombospondin	thrombospondin
fma:Thymic_vein	thymic tributary of brachiocephalic vein <sep> thymic vein
fma:Thymine	thymine
fma:Thymocyte	thymic lymphocyte <sep> thymocyte
fma:Thymosin	thymosin
fma:Thymus	thymus <sep> thymus gland
fma:Thyro_arytenoid	thyro-arytenoid <sep> thyroarytenoid <sep> musculus thyroarytenoideus
fma:Thyro_epiglottic_ligament	thyro-epiglottic ligament <sep> thyroepiglottic ligament <sep> ligamentum thyroepiglotticum
fma:Thyroepiglotticus	pars thyroepiglottica (musculus thyroarytenoideus) <sep> thyro-epiglottic part of thyro-arytenoid <sep> thyroepiglottic muscle <sep> thyroepiglotticus <sep> pars thyroepiglottica musculus thyroarytenoidei
fma:Zone_of_thyro_arytenoid	thyro-arytenoid zone <sep> zone of thyro-arytenoid <sep> zone of thyroarytenoid
fma:Thyroglossal_duct	thyroglossal duct <sep> ductus thyroglossalis
fma:Vestigial_embryonic_structure	vestigial embryonic structure
fma:Thyrohyoid	thyrohyoid <sep> musculus thyrohyoideus
fma:Thyroid_cartilage	thyroid cartilage <sep> cartilago thyroidea
fma:Thyroid_follicle	thyroid follicle
fma:Thyroid_gland	thyroid gland <sep> glandula thyroidea
fma:Thyroidea_ima_artery__variant_	thyroid ima artery <sep> thyroidea ima artery (variant) <sep> arteria thyroidea ima
fma:Variant_systemic_artery	variant systemic artery
fma:Thyrotropin	thyrotropin
fma:Thyrotropin_releasing_factor	thyrotropin-releasing factor
fma:Tibia	tibia
fma:Tibial	tibial
fma:Tibial_collateral_ligament	tibial collateral ligament <sep> ligamentum collaterale tibiale
fma:Tibial_nerve	medial popliteal nerve <sep> tibial nerve <sep> nervus tibialis
fma:Toe	digit of foot <sep> toe <sep> digitus pedis
fma:Tongue	tongue <sep> lingua
fma:Tonsillar_crypt	tonsillar crypt
fma:Tonsillar_fossa	tonsillar bed <sep> tonsillar fossa <sep> tonsillar sinus <sep> fossa tonsillaris <sep> sinus tonsillaris
fma:Tonsillar_ring	pharyngeal lymphatic ring <sep> pharyngeal lymphoid ring <sep> tonsillar ring <sep> waldeyer's ring <sep> waldeyer's tonsillar ring <sep> anulus lymphoideus pharyngis
fma:Trabecula	trabecula
fma:Trabecula_of_spleen	splenic trabecula <sep> trabecula of spleen
fma:Trachea	trachea <sep> windpipe
fma:Tract_of_neuraxis	neuraxis tract <sep> tract of neuraxis
fma:Tract_of_spinal_cord	spinal cord tract <sep> tract of spinal cord
fma:Tragus	tragal part of pinna <sep> tragus
fma:Transfer_ribonucleic_acid	transfer rna <sep> transfer ribonucleic acid <sep> trna
fma:Transitional_cell	transitional cell
fma:Transitional_epithelial_cell	transitional epithelial cell
fma:Transitional_epithelial_cell_of_urinary_bladder	bladder transitional cell <sep> transitional epithelial cell of urinary bladder <sep> urinary tract transitional epithelial cell <sep> urothelial cell
fma:Transitional_epithelium	epithelium transitionale <sep> transitional epithelium
fma:Transitional_epithelium_of_urinary_bladder	bladder transitional cell epithelium <sep> transitional epithelium of urinary bladder <sep> urinary bladder transitional epithelium <sep> urothelium of urinary bladder
fma:Transverse_colon	transverse colon <sep> colon transversum
fma:Transverse_facial_artery	transverse facial artery <sep> arteria transversa faciei
fma:Transverse_fold_of_rectum	horizontal fold of rectum <sep> transverse fold of rectum <sep> transverse rectal fold
fma:Transverse_plane	transverse plane
fma:Transversus_abdominis	transverse abdominal <sep> transversus abdominis <sep> musculus transversus abdominis
fma:Transversus_thoracis	transversus thoracis <sep> musculus transversus thoracis
fma:Trapezium	greater multangular bone <sep> trapezial bone <sep> trapezium <sep> trapezium bone <sep> os trapezium
fma:Trapezius	trapezius <sep> musculus trapezius
fma:Trapezoid	lesser multangular bone <sep> trapezoid <sep> trapezoid bone <sep> os trapezoideum
fma:Triangular	triangular
fma:Triangular_ligament	triangular ligament
fma:Tributary_of_dural_venous_sinus	dural venous sinus tributary <sep> tributary of dural venous sinus
fma:Tributary_of_small_saphenous_vein	small saphenous venous tributary <sep> tributary of small saphenous vein
fma:Triceps_brachii	triceps brachii <sep> musculus triceps brachii
fma:Triceps_surae	triceps surae <sep> musculus triceps surae
fma:Tricuspid_valve	right atrioventricular valve <sep> tricuspid valve <sep> valva atrioventricularis dextra <sep> valva atrioventricularis dextra (valva tricuspidalis) <sep> valva tricuspidalis
fma:Trigeminal_ganglion	gasserian ganglion <sep> semilunar ganglion <sep> trigeminal ganglion <sep> ganglion trigeminale
fma:Trigeminal_motor_nucleus	motor nucleus of cranial nerve v <sep> motor nucleus of trigeminal nerve <sep> trigeminal motor nucleus <sep> nucleus motorius nervi trigemini
fma:Trigeminal_nerve	fifth cranial nerve <sep> trigeminal nerve <sep> trigeminal nerve [v] <sep> trigeminal nerve tree <sep> nerve v <sep> nervus trigeminus <sep> nervus trigeminus [v]
fma:Trigeminal_nuclear_complex	trigeminal nuclear complex <sep> trigeminal nuclei <sep> nuclei trigemini
fma:Trigone_of_urinary_bladder	deep trigone <sep> lieutaud's trigone <sep> trigone of bladder <sep> trigone of urinary bladder <sep> urinary bladder trigone <sep> vesical trigone <sep> musculus trigoni vesicae profundus <sep> trigonum vesicae
fma:Triquetral	cuneiform bone of hand <sep> triangular bone <sep> triquetral <sep> triquetral bone <sep> triquetrum <sep> os triquetrum
fma:Trochlear_nerve	fourth cranial nerve <sep> superior oblique nerve <sep> trochlear nerve <sep> trochlear nerve [iv] <sep> trochlear nerve tree <sep> nerve iv <sep> nervus trochlearis <sep> nervus trochlearis [iv]
fma:Troponin_I	troponin-i
fma:Troponin_T	tropomyosin-binding troponin <sep> troponin-t
fma:Trunk	torso <sep> trunk <sep> truncus
fma:Trunk_of_branch_of_common_iliac_artery	trunk of branch of common iliac artery
fma:Trunk_of_branch_of_external_iliac_artery	trunk of branch of external iliac artery <sep> trunk of subdivision of external iliac artery
fma:Trunk_of_branch_of_ilioinguinal_nerve	trunk of branch of ilioinguinal nerve
fma:Trunk_of_branch_of_lumbar_nerve_plexus	trunk of branch of lumbar nerve plexus
fma:Trunk_of_peripheral_nerve	peripheral neural trunk <sep> trunk of peripheral nerve
fma:Trunk_of_internal_oblique_branch_of_ilioinguinal_nerve	trunk of internal oblique branch of ilioinguinal nerve
fma:Trunk_of_internal_oblique_branch_of_left_ilioinguinal_nerve	trunk of internal oblique branch of left ilioinguinal nerve
fma:Trunk_of_left_pulmonary_artery	left pulmonary arterial trunk <sep> left pulmonary artery(trunk) <sep> trunk of left pulmonary arterial tree <sep> trunk of left pulmonary artery
fma:Trunk_of_right_pulmonary_artery	right pulmonary arterial trunk <sep> right pulmonary artery(trunk) <sep> trunk of right pulmonary arterial tree <sep> trunk of right pulmonary artery
fma:Venous_trunk	venous trunk <sep> vena
fma:Tryptophan	tryptophan
fma:Tuber_cinereum	tuber cinereum
fma:Zone_of_diencephalon	zone of diencephalon
fma:Tubercle_of_rib	rib tubercle <sep> tubercle of rib <sep> tuberculum costae
fma:Tuberculum_sellae	tuberculum sellae
fma:Twelfth_thoracic_vertebra	t12 vertebra <sep> twelfth dorsal vertebra <sep> twelfth thoracic vertebra
fma:Tympanic_membrane	ear drum <sep> lateral wall of tympanic cavity <sep> membranous wall of tympanic cavity <sep> rivinus' membrane <sep> tympanic membrane <sep> membrana tympanica <sep> paries membranaceus cavi tympani
fma:Type_1_muscle_cell	slow-twitch muscle fiber <sep> type 1 muscle cell <sep> type 1 muscle fiber
fma:Type_2_muscle_cell	fast-twitch muscle fiber <sep> type 2 muscle cell <sep> type 2 muscle fiber
fma:Type_2_vestibular_sensory_cell	type 2 vestibular hair cell <sep> type 2 vestibular sensory cell <sep> type ii hair cell
fma:Vestibular_sensory_cell	vestibular hair cell <sep> vestibular sensory cell
fma:Type_A_cell_of_pancreatic_islet	a-cell of pancreatic islet <sep> alpha cell of pancreas <sep> alpha cell of pancreatic islet <sep> pancreatic a-cell <sep> pancreatic alpha cell <sep> type a cell of pancreatic islet
fma:Type_A_enteroendocrine_cell	type a enteroendocrine cell
fma:Type_B_cell_of_pancreatic_islet	b-cell of pancreatic islet <sep> beta cell of pancreatic islet <sep> insulin-secreting cell <sep> pancreatic b-cell <sep> pancreatic beta cell <sep> type b cell of pancreatic islet <sep> type b enteroendocrine cell
fma:Type_D_cell_of_pancreatic_islet	d-cell of pancreatic islet <sep> delta cell of islet <sep> delta cell of pancreatic islet <sep> pancreatic d-cell <sep> pancreatic delta cell <sep> somatostatin-secreting pancreatic cell <sep> type d cell of pancreatic islet
fma:Type_D_enteroendocrine_cell	type d enteroendocrine cell
fma:Type_II_alveolar_epithelial_cell	alveolar cell type ii <sep> alveolar type ii cell <sep> cuboidal type ii cell <sep> great alveolar cell <sep> type 2 pneumocyte <sep> type ii alveolar cell <sep> type ii alveolar epithelial cell <sep> type-ii alveolar cell
fma:Type_IV_collagen	collagen type iv <sep> type iv collagen
fma:Type_I_alveolar_epithelial_cell	alveolar cell type i <sep> squamous alveolar cell <sep> squamous alveolar lining cell <sep> type 1 pneumocyte <sep> type i alveolar cell <sep> type i alveolar epithelial cell <sep> type-i alveolar cell
fma:Type_I_cell_of_carotid_body	glomus cell <sep> type i cell of carotid body
fma:Tyrosine	tyrosine
fma:Ulna	ulna
fma:Ulnar_artery	ulnar artery <sep> arteria ulnaris
fma:Ulnar_nerve	ulnar nerve <sep> nervus ulnaris
fma:Umbilical_artery	umbilical artery <sep> arteria umbilicalis
fma:Umbilical_cord	umbilical cord
fma:Umbilical_vein	umbilical vein <sep> vena umbilicalis
fma:Umbilicus	navel <sep> umbilical part of abdomen <sep> umbilical region <sep> umbilicus
fma:Uncinate_process_of_pancreas	lesser pancreas <sep> processus uncinatus (pancreas) <sep> uncinate process of pancreas <sep> winslow's pancreas <sep> processus uncinatus pancreatis
fma:Uncus	pyriform area (crosby) <sep> uncus <sep> uncus hippocampi
fma:Unencapsulated_nerve_ending	free nerve ending <sep> unencapsulated nerve ending
fma:Unmyelinated_nerve_fiber	non-myelinated nerve fiber <sep> unmyelinated nerve fiber
fma:Zone_of_axon	axon zone <sep> zone of axon
fma:Upper_eyelid	superior eyelid <sep> upper eyelid <sep> palpebra superior
fma:Upper_gastrointestinal_tract	upper gi tract <sep> upper gastrointestinal tract
fma:Upper_jaw	upper jaw
fma:Upper_limb	fore limb <sep> forelimb <sep> superior member <sep> upper extremity <sep> upper limb <sep> membrum superius
fma:Upper_lobe_of_left_lung	left upper lobe <sep> left upper lobe of lung <sep> superior lobe of left lung <sep> upper lobe of left lung <sep> lobus superior (pulmo sinister) <sep> lobus superior pulmonis sinistri
fma:Upper_lobe_of_lung	lobus superior <sep> superior lobe of lung <sep> upper lobe of lung <sep> lobus superior pulmonis
fma:Upper_lobe_of_right_lung	right upper lobe <sep> right upper lobe of lung <sep> superior lobe of right lung <sep> upper lobe of right lung <sep> lobus superior (pulmo dexter) <sep> lobus superior pulmonis dextri
fma:Urachus	urachus
fma:Uracil	uracil
fma:Urethral_gland	urethral gland
fma:Urinary_bladder	bladder <sep> urinary bladder <sep> vesica urinaria
fma:Urinary_system	systema urinaria <sep> urinary system <sep> systema urinarium
fma:Urine	urine
fma:Urothelium	uroepithelium <sep> urothelium
fma:Uterus	uterus
fma:Utricle_of_membranous_labyrinth	membranous labyrinth utricle <sep> utricle <sep> utricle of membranous labyrinth <sep> utriculus (labyrinthus vestibularis) <sep> utriculus
fma:Utriculosaccular_duct	ductus utricosaccularis <sep> utricosaccular duct of membranous labyrinth <sep> utriculosaccular duct <sep> ductus utriculosaccularis
fma:Uvula	uvula <sep> uvula of palate <sep> uvula palatina
fma:Vagina	vagina
fma:Vagus_nerve	tenth cranial nerve <sep> vagus <sep> vagus nerve <sep> vagus nerve [x] <sep> vagus nerve tree <sep> nerve x <sep> nervus vagus <sep> nervus vagus [x]
fma:Valine	valine
fma:Valve_of_coronary_sinus	coronary sinus valve <sep> thebesian valve <sep> thebesius valve <sep> valve of coronary sinus <sep> valvula sinus coronarii
fma:Vestigial_cardiac_valve	vestigial cardiac valve
fma:Valve_of_inferior_vena_cava	eustachean valve <sep> eustachian valve <sep> inferior vena cava valve <sep> valve of inferior vena cava <sep> valvula venae cavae inferioris
fma:Variant_artery	variant artery
fma:Vasa_vasorum	vasa vasorum <sep> vas vasorum
fma:Vasculature_of_organ_part	organ part vasculature <sep> vasculature of organ part
fma:Vasculature	vascular network <sep> vasculature
fma:Vasoactive_intestinal_peptide	vasoactive intestinal peptide
fma:Vastus_lateralis	vastus lateralis <sep> musculus vastus lateralis
fma:Ventral_anterior_nucleus	ventral anterior nucleus <sep> ventral anterior nucleus of thalamus <sep> ventral anterior thalamic nucleus <sep> nucleus lateropolaris <sep> nucleus ventralis anterior <sep> nucleus ventralis anterior thalami <sep> nucleus ventralis thalami anterior <sep> va
fma:Ventral_corticospinal_tract	anterior corticospinal tract <sep> anterior pyramidal tract <sep> anterior tract of turck <sep> bundle of turck <sep> column of turck <sep> ventral corticospinal tract <sep> tractus corticospinalis anterior <sep> tractus corticospinalis ventralis
fma:Ventral_lateral_nucleus	lateral ventral nucleus of thalamus <sep> ventral lateral complex of thalamus <sep> ventral lateral nucleus <sep> ventral lateral nucleus of thalamus <sep> ventral lateral thalamic nuclei <sep> ventrolateral thalamic nucleus <sep> nuclei ventrales laterales thalami <sep> nucleus ventralis lateralis <sep> nucleus ventralis lateralis thalami <sep> nucleus ventralis thalami lateralis <sep> vl
fma:Ventral_root	ventral root
fma:Vermiform_granule	birbeck granule <sep> vermiform granule
fma:Vertebral_arch	arch of vertebra <sep> arcus vertebrae (vertebralis) <sep> vertebral arch <sep> arcus vertebrae
fma:Vertebral_arch_joint	facet joint <sep> joint of vertebral arch <sep> joint of vertebral articular process <sep> vertebral arch joint <sep> zygapophyseal joint <sep> zygapophysial joint
fma:Vertebral_artery	vertebral artery <sep> arteria vertebralis
fma:Vertebral_canal	vertebral canal <sep> canalis vertebralis
fma:Vertebral_column	backbone <sep> spinal column <sep> spine <sep> vertebral column <sep> columna vertebralis
fma:Vertebral_vein	vertebral vein <sep> vena vertebralis
fma:Vertical	vertical
fma:Vestibular_fold	false vocal cord <sep> vestibular fold <sep> plica vestibularis
fma:Viscerocranial_mucosal_fold	viscerocranial mucosal fold
fma:Vestibular_ganglion	scarpa's ganglion <sep> vestibular ganglion <sep> ganglion vestibulare
fma:Vestibular_labyrinth	vestibular labyrinth <sep> labyrinthus vestibularis
fma:Vestibular_membrane_of_cochlear_duct	reissner's membrane <sep> superior wall of cochlear duct <sep> vestibular membrane of reissner <sep> vestibular membrane of cochlear duct <sep> membrana vestibularis ductus cochlearis
fma:Vestibular_nerve	vestibular nerve <sep> vestibular root of acoustic nerve <sep> vestibular root of eighth cranial nerve <sep> nervus vestibularis
fma:Vestibular_nuclear_complex	vestibular nuclear complex <sep> vestibular nuclei <sep> vestibular nuclei in medulla oblongata <sep> nuclei vestibulares <sep> nuclei vestibulares in medulla oblongata
fma:Vestibulocochlear_nerve	acoustic nerve <sep> acoustic nerve (crosby) <sep> cochlear-vestibular nerve <sep> cochleovestibular nerve <sep> eighth cranial nerve <sep> stato-acoustic nerve <sep> statoacoustic nerve <sep> vestibulocochlear nerve <sep> vestibulocochlear nerve [viii] <sep> vestibulocochlear nerve tree <sep> cranial nerve viii <sep> nervus octavus <sep> nervus statoacusticus <sep> nervus vestibulocochlearis <sep> nervus vestibulocochlearis [viii]
fma:Vestibulocochlear_organ	vestibulocochlear organ <sep> organum vestibulocochleare
fma:Vimentin	vimentin
fma:Visceral_pleura	pleura visceralis (pulmonalis) <sep> pulmonary pleura <sep> visceral pleura <sep> pleura pulmonalis <sep> pleura visceralis
fma:Visceral_serous_membrane	visceral serous membrane <sep> visceral wall of serous membrane
fma:Viscus	viscus
fma:Visual_system	visual organ system <sep> visual system
fma:Vitelline_vein	vitelline vein
fma:Vitreous_body	vitreous body <sep> corpus vitreum
fma:Vitreous_chamber_of_eyeball	camera postrema <sep> camera vitrea <sep> camera vitrea bulbi <sep> postremal chamber <sep> postremal chamber of eyeball <sep> vitreous chamber <sep> vitreous chamber of eyeball <sep> camera postrema bulbi oculi <sep> camera vitrea bulbi oculi
fma:Vocal_fold	true vocal cord <sep> vocal cord <sep> vocal fold <sep> plica vocalis
fma:Vocalis	vocal muscle <sep> vocalis <sep> musculus vocalis
fma:Vomer	vomer <sep> vomer bone
fma:Vulva	female pudendum <sep> puboperineal region <sep> vulva <sep> pudendum femininum
fma:Wall_of_zone_of_uterus	wall of zone of uterus
fma:Wall_of_endoplasmic_reticulum	endoplasmic reticulum wall <sep> membrane of endoplasmic reticulum <sep> wall of endoplasmic reticulum
fma:Wall_of_organelle	intracellular membrane <sep> organelle wall <sep> wall of organelle
fma:Wall_of_lysosome	lysosomal membrane <sep> lysosome wall <sep> membrane of lysosome <sep> wall of lysosome
fma:Wall_of_smooth_endoplasmic_reticulum	membrane of smooth endoplasmic reticulum <sep> smooth endoplasmic reticulum membrane <sep> smooth endoplasmic reticulum wall <sep> wall of smooth endoplasmic reticulum
fma:Wall_of_urinary_bladder	urinary bladder wall <sep> wall of urinary bladder
fma:White_matter_of_cerebellum	cerebellar white matter <sep> white matter of cerebellum
fma:White_matter_of_metencephalon	white matter of metencephalon
fma:White_matter_of_spinal_cord	white matter of spinal cord <sep> white substance of spinal cord <sep> substantia alba medullae spinalis
fma:White_pulp_of_spleen	white pulp <sep> white pulp of spleen <sep> pulpa alba
fma:Whole_portion_of_vitreous_humor	humor vitreous <sep> vitreous humor <sep> whole portion of vitreous humor <sep> humor vitreus
fma:Wrist_joint	joint of wrist <sep> radiocarpal joint <sep> wrist joint <sep> articulatio radiocarpalis
fma:X_chromosome	x chromosome
fma:Xiphoid_process	xiphoid process <sep> xiphoid process of sternum <sep> processus xiphoideus
fma:Xylose	xylose
fma:Y_chromosome	y chromosome
fma:Yolk_sac	yolk sac
fma:Zone_of_abdominal_fascia	abdominal fascia zone <sep> subdivision of endo-abdominopelvic fascia <sep> zone of abdominal fascia
fma:Zone_of_internal_fascia	internal fascia zone <sep> zone of internal fascia
fma:Zone_of_cell_appendage	cell appendage zone <sep> zone of cell appendage
fma:Zone_of_endoabdominal_fascia	endoabdominal fascia zone <sep> zone of endoabdominal fascia
fma:Zone_of_ethmoid	ethmoid zone <sep> zone of ethmoid
fma:Zone_of_irregular_bone	irregular bone zone <sep> zone of irregular bone
fma:Zone_of_flat_bone	flat bone zone <sep> zone of flat bone
fma:Zone_of_muscle_organ	muscular organ zone <sep> zone of muscle organ
fma:Zone_of_investing_fascia	investing fascia zone <sep> zone of investing fascia
fma:Zone_of_investing_fascia_of_free_lower_limb	zone of investing fascia of free lower limb
fma:Zone_of_investing_fascia_of_lower_limb	zone of investing fascia of lower limb
fma:Zone_of_nerve	neural zone <sep> zone of nerve
fma:Zone_of_temporal_bone	temporal bone zone <sep> zone of temporal bone
fma:Zone_of_skin	skin zone <sep> zone of skin
fma:Zygomatic_arch	zygoma <sep> zygomatic arch <sep> arcus zygomaticus
fma:Zygomaticus_major	zygomaticus major <sep> musculus zygomaticus major
fma:Zygomaticus_minor	zygomaticus minor <sep> musculus zygomaticus minor
fma:Zygote	zygote
fma:Abdominal_fascia	abdominal fascia <sep> endo-abdominopelvic fascia <sep> fascia of abdomen <sep> fascia abdominis
fma:Internal_fascia	internal fascia
fma:Abdominal_orifice_of_uterine_tube	abdominal orifice of fallopian tube <sep> abdominal orifice of oviduct <sep> abdominal orifice of uterine tube <sep> abdominal ostium of fallopian tube
fma:Orifice_of_uterine_tube	orifice of fallopian tube <sep> orifice of oviduct <sep> orifice of uterine tube <sep> ostium of uterine tube <sep> uterine ostium <sep> uterine tube orifice
fma:Abdominal_ostium_of_uterine_tube	abdominal ostium of uterine tube <sep> ostium abdominale tubae uterinae
fma:Abdominal_part_of_inferior_vena_cava	abdominal part of inferior vena cava <sep> abdominal segment of inferior vena cava
fma:Zone_of_inferior_vena_cava	inferior vena cava zone <sep> zone of inferior vena cava
fma:Abdominal_part_of_pectoralis_major	abdominal part of pectoralis major <sep> pars abdominalis (musculus pectoralis major) <sep> pars abdominalis musculus pectoralis majoris
fma:Zone_of_pectoralis_major	pectoralis major zone <sep> zone of pectoralis major
fma:Abdominal_part_of_ureter	abdominal part of ureter <sep> abdominal portion of ureter <sep> pars abdominalis (ureter) <sep> pars abdominalis ureteris
fma:Abdominal_quadrant	abdominal quadrant
fma:Abdominal_viscus	abdominal viscus
fma:Abductor_digiti_minimi_of_foot	abductor digiti minimi of foot
fma:Abductor_hallucis	abductor hallucis <sep> musculus abductor hallucis
fma:Abductor_pollicis_brevis	abductor pollicis brevis <sep> musculus abductor pollicis brevis
fma:Thenar_muscle	thenar muscle
fma:Aberrant_ductule_of_epididymis	aberrant ductule of epididymis
fma:Region_of_head_of_epididymis	region of head of epididymis
fma:Accessory_atrioventricular_bundle	accessory atrioventricular bundle <sep> bundle of kent
fma:Accessory_breast	accessory breast <sep> mamma accessoria
fma:Accessory_cephalic_vein	accessory cephalic vein <sep> vena cephalica accessoria
fma:Tributary_of_cephalic_vein	cephalic venous tributary <sep> tributary of cephalic vein
fma:Accessory_cuneate_nucleus	accessory cuneate nucleus <sep> external cuneate nucleus <sep> lateral cuneate nucleus <sep> nucleus of corpus restiforme <sep> nucleus monakow <sep> nucleus cuneatus accessorius <sep> nucleus cuneatus lateralis <sep> nucleus funiculi cuneatus externus
fma:Accessory_cusp_of_tooth	accessory cusp of tooth <sep> cuspis accessoria <sep> cuspis acessoria dentis
fma:Cusp_of_tooth	cusp of tooth <sep> tooth cusp <sep> cuspis dentis
fma:Accessory_hemiazygos_vein	accessory hemi-azygos vein <sep> accessory hemiazygos vein <sep> superior hemi-azygos vein <sep> vena azygos accessoria <sep> vena hemiazygos accessoria
fma:Tributary_of_azygos_vein	azygos venous tributary <sep> tributary of azygos vein
fma:Accessory_meningeal_artery	accessory meningeal artery
fma:Accessory_nasal_cartilage	accessory nasal cartilage
fma:Accessory_pancreas	accessory pancreas <sep> pancreas accessorium
fma:Accessory_parathyroid_gland	accessory parathyroid gland
fma:Accessory_renal_artery	accessory renal artery
fma:Accessory_root_of_tooth	accessory root <sep> accessory root of tooth <sep> radix accessoria (dentis) <sep> radix accessoria
