Entity-IRI	Entity-Lexicon
snomed:Nasopharyngeal_structure	nasopharyngeal structure
snomed:Disorder_of_nipple	disorder of nipple
snomed:Disorder_of_olfactory_nerve	disorder of olfactory nerve
snomed:Disorder_of_olfactory_system	disorder of olfactory system
snomed:Olfactory_nerve_structure	olfactory nerve structure
snomed:Structure_of_olfactory_system	structure of olfactory system
snomed:Disorder_of_visual_pathways	disorder of visual pathways
snomed:Disorder_of_optic_tract	disorder of optic tract
snomed:Optic_tract_structure	optic tract structure
snomed:Oral_mucosa_finding	oral mucosa finding
snomed:Oral_soft_tissues_structure	oral soft tissues structure
snomed:Orbit_finding	orbit finding
snomed:Disorder_of_oropharynx	disorder of oropharynx
snomed:Oropharyngeal_structure	oropharyngeal structure
snomed:Palate_finding	palate finding
snomed:Disorder_of_palatine_bone	disorder of palatine bone
snomed:Disorder_of_palatine_tonsil	disorder of palatine tonsil
snomed:Tonsil_finding	tonsil finding
snomed:Tonsillar_structure_palatine	tonsillar structure palatine
snomed:Finding_of_pancreas	finding of pancreas
snomed:Disorder_of_parasympathetic_nervous_system	disorder of parasympathetic nervous system
snomed:Parasympathetic_nervous_system_structure	parasympathetic nervous system structure
snomed:Disorder_of_patellofemoral_joint	disorder of patellofemoral joint
snomed:Disorder_of_peritoneum	disorder of peritoneum
snomed:Pelvic_peritoneum_structure	pelvic peritoneum structure
snomed:Penis_finding	penis finding
snomed:Disorder_of_pericardium	disorder of pericardium
snomed:Pericardial_finding	pericardial finding
snomed:Pericardial_structure	pericardial structure
snomed:Pinna_finding	pinna finding
snomed:Disorder_of_pleura	disorder of pleura
snomed:Pleura_finding	pleura finding
snomed:Pleural_membrane_structure	pleural membrane structure
snomed:Disorder_of_pleura_AND_OR_pleural_cavity	disorder of pleura and or pleural cavity
snomed:Pleural_cavity_structure	pleural cavity structure
snomed:Portal_venous_system_structure	portal venous system structure
snomed:Disorder_of_posterior_pituitary	disorder of posterior pituitary
snomed:Neurohypophysis_structure	neurohypophysis structure
snomed:Prostate_finding	prostate finding
snomed:Pulmonary_vascular_structure	pulmonary vascular structure
snomed:Disorder_of_pulp_of_tooth	disorder of pulp of tooth
snomed:Structure_of_pulp_of_tooth	structure of pulp of tooth
snomed:Rectum_finding	rectum finding
snomed:Disorder_of_rectus_sheath	disorder of rectus sheath
snomed:Structure_of_soft_tissues_of_trunk	structure of soft tissues of trunk
snomed:Disorder_of_the_genitourinary_system	disorder of the genitourinary system
snomed:Structure_of_anatomical_reproductive_system	structure of anatomical reproductive system
snomed:Respiratory_finding	respiratory finding
snomed:Disorder_of_retroperitoneal_region_excluding_major_organs	disorder of retroperitoneal region excluding major organs
snomed:Structure_of_retroperitoneal_region_excluding_major_organs	structure of retroperitoneal region excluding major organs
snomed:Disorder_of_right_cardiac_ventricle	disorder of right cardiac ventricle
snomed:Finding_of_right_ventricle	finding of right ventricle
snomed:Right_ventricular_structure	right ventricular structure
snomed:Disorder_of_rotator_cuff	disorder of rotator cuff
snomed:Structure_of_rotator_cuff_including_muscles_and_tendons	structure of rotator cuff including muscles and tendons
snomed:Disorder_of_sacrococcygeal_spine	disorder of sacrococcygeal spine
snomed:Sacrococcygeal_region_of_spine_structure	sacrococcygeal region of spine structure
snomed:Sacral_spine_finding	sacral spine finding
snomed:Disorder_of_scalp	disorder of scalp
snomed:Scalp_structure	scalp structure
snomed:Sclera_and_episclera_finding	sclera and episclera finding
snomed:Disorder_of_scrotum	disorder of scrotum
snomed:Scrotum_finding	scrotum finding
snomed:Scrotal_structure	scrotal structure
snomed:Disorder_of_seminal_vesicle	disorder of seminal vesicle
snomed:Seminal_vesicle_structure	seminal vesicle structure
snomed:Finding_of_shoulder_region	finding of shoulder region
snomed:Disorder_of_skeletal_AND_OR_smooth_muscle	disorder of skeletal and or smooth muscle
snomed:Skeletal_and_or_smooth_muscle_structure	skeletal and or smooth muscle structure
snomed:Disorder_of_skin_AND_OR_subcutaneous_tissue	disorder of skin and or subcutaneous tissue
snomed:Skin_finding	skin finding
snomed:Skin_AND_subcutaneous_tissue_structure	skin and subcutaneous tissue structure
snomed:Skin_AND_subcutaneous_tissue_structure_of_head	skin and subcutaneous tissue structure of head
snomed:Disorder_of_skin_AND_OR_subcutaneous_tissue_of_neck	disorder of skin and or subcutaneous tissue of neck
snomed:Skin_AND_subcutaneous_tissue_structure_of_neck	skin and subcutaneous tissue structure of neck
snomed:Disorder_of_skin_AND_OR_subcutaneous_tissue_of_trunk	disorder of skin and or subcutaneous tissue of trunk
snomed:Skin_AND_subcutaneous_tissue_structure_of_trunk	skin and subcutaneous tissue structure of trunk
snomed:Structure_of_skin_and_or_mucosa_of_vulva	structure of skin and or mucosa of vulva
snomed:Finding_of_small_intestine	finding of small intestine
snomed:Disorder_of_smooth_muscle	disorder of smooth muscle
snomed:Disorder_of_soft_tissue_of_lower_limb	disorder of soft tissue of lower limb
snomed:Structure_of_soft_tissues_of_lower_extremity	structure of soft tissues of lower extremity
snomed:Disorder_of_soft_tissue_of_neck	disorder of soft tissue of neck
snomed:Structure_of_soft_tissues_of_neck	structure of soft tissues of neck
snomed:Spermatic_cord_finding	spermatic cord finding
snomed:Disorder_of_sphenoidal_sinus	disorder of sphenoidal sinus
snomed:Sphenoid_sinus_structure	sphenoid sinus structure
snomed:Disorder_of_spinal_region	disorder of spinal region
snomed:Finding_of_spinal_region	finding of spinal region
snomed:Structure_of_vertebral_region_of_back	structure of vertebral region of back
snomed:Stomach_finding	stomach finding
snomed:Subcutaneous_tissue_finding	subcutaneous tissue finding
snomed:Disorder_of_sympathetic_nervous_system	disorder of sympathetic nervous system
snomed:Sympathetic_nervous_system_structure	sympathetic nervous system structure
snomed:Synovial_membrane_structure	synovial membrane structure
snomed:Disorder_of_teeth_AND_OR_supporting_structures	disorder of teeth and or supporting structures
snomed:Structure_of_teeth_gums_and_supporting_structures	structure of teeth gums and supporting structures
snomed:Disorder_of_tendon	disorder of tendon
snomed:Tendon_finding	tendon finding
snomed:Disorder_of_tendon_of_biceps	disorder of tendon of biceps
snomed:Disorder_of_tendon_of_shoulder_region	disorder of tendon of shoulder region
snomed:Testicular_finding	testicular finding
snomed:Urogenital_finding	urogenital finding
snomed:Structure_of_genitourinary_system	structure of genitourinary system
snomed:Disorder_of_the_lower_urinary_tract	disorder of the lower urinary tract
snomed:Nose_finding	nose finding
snomed:Urinary_system_finding	urinary system finding
snomed:Finding_of_thigh	finding of thigh
snomed:Thigh_structure	thigh structure
snomed:Finding_of_thoracic_spine	finding of thoracic spine
snomed:Toe_finding	toe finding
snomed:Tongue_finding	tongue finding
snomed:Waldeyer_s_ring_structure	waldeyer s ring structure
snomed:Finding_of_trachea	finding of trachea
snomed:Finding_of_trunk_structure	finding of trunk structure
snomed:Disorder_of_tympanic_membrane	disorder of tympanic membrane
snomed:Umbilicus_finding	umbilicus finding
snomed:Umbilical_cord_structure	umbilical cord structure
snomed:Finding_of_upper_limb	finding of upper limb
snomed:Upper_gastrointestinal_tract_structure	upper gastrointestinal tract structure
snomed:Upper_respiratory_tract_finding	upper respiratory tract finding
snomed:Ureter_finding	ureter finding
snomed:Urethral_finding	urethral finding
snomed:Finding_of_urinary_tract_proper	finding of urinary tract proper
snomed:Disorder_of_uvula_of_palate	disorder of uvula of palate
snomed:Uvula_palatina_structure	uvula palatina structure
snomed:Disorder_of_vagus_nerve	disorder of vagus nerve
snomed:Vagus_nerve_structure	vagus nerve structure
snomed:Finding_of_vas_deferens	finding of vas deferens
snomed:Venous_finding	venous finding
snomed:Disorder_of_vertebra	disorder of vertebra
snomed:Structure_of_body_of_vertebra	structure of body of vertebra
snomed:Disorder_of_visual_cortex	disorder of visual cortex
snomed:Visual_pathway_structure	visual pathway structure
snomed:Disorder_of_vitreous_cavity	disorder of vitreous cavity
snomed:Disorder_of_vitreous_body_and_or_retina	disorder of vitreous body and or retina
snomed:Vitreous_and_or_retinal_structures	vitreous and or retinal structures
snomed:Vitreous_cavity_finding	vitreous cavity finding
snomed:Vitreous_cavity_structure	vitreous cavity structure
snomed:Disorder_of_vocal_cord	disorder of vocal cord
snomed:Nasal_septum_finding	nasal septum finding
snomed:Finding_of_wrist_joint	finding of wrist joint
snomed:Finding_of_wrist_region	finding of wrist region
snomed:Disorder_of_zygomatic_bone	disorder of zygomatic bone
snomed:Displacement	displacement
snomed:Qualitative_observation	qualitative observation
snomed:Distal	distal
snomed:Distal_convoluted_renal_tubule_structure	distal convoluted renal tubule structure
snomed:Structure_of_convoluted_renal_tubule	structure of convoluted renal tubule
snomed:Distal_epiphysis_of_lower_limb	distal epiphysis of lower limb
snomed:Epiphysis_of_lower_limb	epiphysis of lower limb
snomed:Structure_of_distal_epiphysis	structure of distal epiphysis
snomed:Distal_epiphysis_of_upper_limb	distal epiphysis of upper limb
snomed:Epiphysis_of_upper_limb	epiphysis of upper limb
snomed:Distal_humeral_epiphysis	distal humeral epiphysis
snomed:Epiphysis_of_humerus	epiphysis of humerus
snomed:Distal_interphalangeal_joint_structure_of_fifth_finger	distal interphalangeal joint structure of fifth finger
snomed:Little_finger_structure	little finger structure
snomed:Distal_interphalangeal_joint_structure_of_fifth_toe	distal interphalangeal joint structure of fifth toe
snomed:Distal_interphalangeal_joint_structure_of_toe	distal interphalangeal joint structure of toe
snomed:Joint_of_fifth_toe	joint of fifth toe
snomed:Distal_interphalangeal_joint_structure_of_fourth_finger	distal interphalangeal joint structure of fourth finger
snomed:Ring_finger_structure	ring finger structure
snomed:Distal_interphalangeal_joint_structure_of_fourth_toe	distal interphalangeal joint structure of fourth toe
snomed:Joint_of_fourth_toe	joint of fourth toe
snomed:Distal_interphalangeal_joint_structure_of_second_finger	distal interphalangeal joint structure of second finger
snomed:Index_finger_structure	index finger structure
snomed:Distal_interphalangeal_joint_structure_of_second_toe	distal interphalangeal joint structure of second toe
snomed:Joint_of_second_toe	joint of second toe
snomed:Distal_interphalangeal_joint_structure_of_third_finger	distal interphalangeal joint structure of third finger
snomed:Middle_finger_structure	middle finger structure
snomed:Distal_interphalangeal_joint_structure_of_third_toe	distal interphalangeal joint structure of third toe
snomed:Joint_of_third_toe	joint of third toe
snomed:Structure_of_joint_of_toe	structure of joint of toe
snomed:Structure_of_artery_of_lower_extremity	structure of artery of lower extremity
snomed:Distal_tibiofibular_joint_structure	distal tibiofibular joint structure
snomed:Tibiofibular_joint_structure	tibiofibular joint structure
snomed:Distal_tooth_root	distal tooth root
snomed:Distinctive_arrangement_of_cytoplasmic_filaments	distinctive arrangement of cytoplasmic filaments
snomed:Distinctive_cytoplasmic_granule_of_specialized_cell	distinctive cytoplasmic granule of specialized cell
snomed:Distinctive_surface_process_of_specialized_cell	distinctive surface process of specialized cell
snomed:Distopalatal_cusp	distopalatal cusp
snomed:Special_disorder_atoms	special disorder atoms
snomed:Diverticula_of_intestine	diverticula of intestine
snomed:Diverticular_disease	diverticular disease
snomed:Diverticular_disease_of_colon	diverticular disease of colon
snomed:Diverticular_disease_of_large_intestine	diverticular disease of large intestine
snomed:Diverticulosis_of_rectum	diverticulosis of rectum
snomed:Diverticulosis_of_small_intestine	diverticulosis of small intestine
snomed:Diverticulosis_of_the_duodenum	diverticulosis of the duodenum
snomed:Diverticulosis_of_the_ileum	diverticulosis of the ileum
snomed:Diverticulosis_of_the_jejunum	diverticulosis of the jejunum
snomed:Diverticulum_of_appendix	diverticulum of appendix
snomed:Diverticulum_of_bladder	diverticulum of bladder
snomed:Diverticulum_of_renal_calyx	diverticulum of renal calyx
snomed:Structure_of_calyx	structure of calyx
snomed:Diverticulum_of_seminal_vesicle	diverticulum of seminal vesicle
snomed:Seminal_vesicle_part	seminal vesicle part
snomed:Division_of_cochlear_canal	division of cochlear canal
snomed:Division_of_trigeminal_nerve	division of trigeminal nerve
snomed:Trigeminal_nerve_structure	trigeminal nerve structure
snomed:Dome_of_diaphragm	dome of diaphragm
snomed:Dopamine	dopamine
snomed:Dopamine_receptor	dopamine receptor
snomed:Dorsal	dorsal
snomed:Dorsal_arch_of_cervical_vertebra	dorsal arch of cervical vertebra
snomed:Dorsal_digital_nerve	dorsal digital nerve
snomed:Dorsal_digital_nerve_to_fifth_toe	dorsal digital nerve to fifth toe
snomed:Dorsal_digital_nerve_to_fourth_toe	dorsal digital nerve to fourth toe
snomed:Dorsal_digital_nerve_to_great_toe	dorsal digital nerve to great toe
snomed:Dorsal_digital_nerve_to_second_toe	dorsal digital nerve to second toe
snomed:Dorsal_digital_nerve_to_third_toe	dorsal digital nerve to third toe
snomed:Dorsal_digital_nerves_of_foot	dorsal digital nerves of foot
snomed:Dorsal_funiculus_structure	dorsal funiculus structure
snomed:Spinal_cord_white_matter_column	spinal cord white matter column
snomed:Dorsal_median_sulcus	dorsal median sulcus
snomed:Dorsal_metatarsal_ligament	dorsal metatarsal ligament
snomed:Structure_of_metatarsal_ligament	structure of metatarsal ligament
snomed:Dorsal_motor_nucleus_of_vagus_nerve	dorsal motor nucleus of vagus nerve
snomed:Vagus_nerve_nucleus_structure	vagus nerve nucleus structure
snomed:Dorsal_pharyngeal_wall_structure	dorsal pharyngeal wall structure
snomed:Pharyngeal_wall_structure	pharyngeal wall structure
snomed:Dorsal_sacrococcygeal_ligament	dorsal sacrococcygeal ligament
snomed:Entire_sacrococcygeal_ligament	entire sacrococcygeal ligament
snomed:Dorsal_spinal_nerve_root_structure	dorsal spinal nerve root structure
snomed:Dorsum_sellae_structure	dorsum sellae structure
snomed:Sphenoid_bone_part	sphenoid bone part
snomed:Downy_hair	downy hair
snomed:Finding_of_texture_of_hair	finding of texture of hair
snomed:Structure_of_hair_of_skin_region	structure of hair of skin region
snomed:Hair_characteristics	hair characteristics
snomed:Drug_additive	drug additive
snomed:Drug_excipient	drug excipient
snomed:Drug_allergen_or_pseudoallergen	drug allergen or pseudoallergen
snomed:Drug_allergen_by_structure	drug allergen by structure
snomed:Drug_dose_form	drug dose form
snomed:Type_of_drug_preparation	type of drug preparation
snomed:Types_of_drugs	types of drugs
snomed:Drug_pseudoallergen	drug pseudoallergen
snomed:Drug_specimen	drug specimen
snomed:Drug_values	drug values
snomed:Drugs_used_in_the_treatment_of_paracetamol_poisoning	drugs used in the treatment of paracetamol poisoning
snomed:Drugs_which_increase_gastric_acidity	drugs which increase gastric acidity
snomed:Gastrointestinal_drug	gastrointestinal drug
snomed:Duodenal	duodenal
snomed:Small_intestinal	small intestinal
snomed:Duodenal_ampulla_structure	duodenal ampulla structure
snomed:Structure_of_superior_portion_of_duodenum	structure of superior portion of duodenum
snomed:Duodenal_epithelium	duodenal epithelium
snomed:Duodenal_mucous_membrane_structure	duodenal mucous membrane structure
snomed:Small_intestine_epithelium	small intestine epithelium
snomed:Duodenal_flexure	duodenal flexure
snomed:Duodenal_gland	duodenal gland
snomed:Entire_intestinal_gland	entire intestinal gland
snomed:Duodenal_lamina_propria	duodenal lamina propria
snomed:Small_intestine_lamina_propria	small intestine lamina propria
snomed:Small_intestine_mucous_membrane_structure	small intestine mucous membrane structure
snomed:Duodenal_papilla_structure	duodenal papilla structure
snomed:Duodenal_recess_structure	duodenal recess structure
snomed:Duodenal_serosa	duodenal serosa
snomed:Small_intestine_serosa	small intestine serosa
snomed:Stomach_and_or_duodenal_structures	stomach and or duodenal structures
snomed:Duodenal_submucosa	duodenal submucosa
snomed:Small_intestine_submucosa	small intestine submucosa
snomed:Duodenal_subserosa	duodenal subserosa
snomed:Small_intestine_subserosa	small intestine subserosa
snomed:Duodenoileostomy	duodenoileostomy
snomed:Duodenojejunal_junction	duodenojejunal junction
snomed:Junction_of_small_intestine	junction of small intestine
snomed:Structure_of_duodenojejunal_flexure	structure of duodenojejunal flexure
snomed:Duodenojejunostomy	duodenojejunostomy
snomed:Dural_sinus	dural sinus
snomed:Structure_of_intracranial_vein	structure of intracranial vein
snomed:Structure_of_venous_sinus	structure of venous sinus
snomed:Dynein_ATPase	dynein atpase
snomed:Hydrolase	hydrolase
snomed:Dysgenesis_of_the_cerebellum	dysgenesis of the cerebellum
snomed:Ear_canal_finding	ear canal finding
snomed:Ear_nose_and_throat_finding	ear nose and throat finding
snomed:Ear_lobule_structure	ear lobule structure
snomed:Ear_nose_and_throat_structure	ear nose and throat structure
snomed:Finding_of_head_and_neck_region	finding of head and neck region
snomed:Head_and_neck_structure	head and neck structure
snomed:Tympanic_cavity_structure	tympanic cavity structure
snomed:Ear_part	ear part
snomed:Specimen_from_head_and_neck_structure	specimen from head and neck structure
snomed:Structure_of_half_of_head_lateral_to_midsagittal_plane	structure of half of head lateral to midsagittal plane
snomed:Early_differentiated_embryonic_structure	early differentiated embryonic structure
snomed:Ectoderm_structure	ectoderm structure
snomed:Histogenic_layer	histogenic layer
snomed:Ectopic_adrenal_gland	ectopic adrenal gland
snomed:Ectopic_breast	ectopic breast
snomed:Ectopic_breast_tissue	ectopic breast tissue
snomed:Ectopic_intestinal_mucosa	ectopic intestinal mucosa
snomed:Ectopic_kidney	ectopic kidney
snomed:Ectopic_lacrimal_papilla	ectopic lacrimal papilla
snomed:Lid_margin_finding	lid margin finding
snomed:Lacrimal_papilla_structure	lacrimal papilla structure
snomed:Ectopic_ovary	ectopic ovary
snomed:Ectopic_pancreas	ectopic pancreas
snomed:Ectopic_pancreas_in_duodenum	ectopic pancreas in duodenum
snomed:Ectopic_pancreatic_tissue_in_stomach	ectopic pancreatic tissue in stomach
snomed:Ectopic_parotid_gland_tissue	ectopic parotid gland tissue
snomed:Ectopic_pituitary_tissue	ectopic pituitary tissue
snomed:Pupillary_disorder	pupillary disorder
snomed:Ectopic_splenic_tissue	ectopic splenic tissue
snomed:Spleen_part	spleen part
snomed:Ectopic_testis	ectopic testis
snomed:Ectopic_thymic_tissue	ectopic thymic tissue
snomed:Ectopic_tooth	ectopic tooth
snomed:Ectopic_ureter	ectopic ureter
snomed:Edinger_Westphal_nucleus	edinger westphal nucleus
snomed:Oculomotor_nucleus_structure	oculomotor nucleus structure
snomed:Effect_of_surgery	effect of surgery
snomed:Effusion	effusion
snomed:Fluid_disturbance	fluid disturbance
snomed:Effusion_of_acromioclavicular_joint	effusion of acromioclavicular joint
snomed:Effusion_of_joint_of_shoulder_region	effusion of joint of shoulder region
snomed:Joint_structure_of_shoulder_girdle	joint structure of shoulder girdle
snomed:Effusion_of_distal_radioulnar_joint	effusion of distal radioulnar joint
snomed:Wrist_joint_effusion	wrist joint effusion
snomed:Inferior_radioulnar_joint_structure	inferior radioulnar joint structure
snomed:Effusion_of_joint	effusion of joint
snomed:Effusion_of_joint_of_forearm	effusion of joint of forearm
snomed:Effusion_of_joint_of_hand	effusion of joint of hand
snomed:Effusion_of_joint_of_pelvic_region	effusion of joint of pelvic region
snomed:Effusion_of_metacarpophalangeal_joint	effusion of metacarpophalangeal joint
snomed:Metacarpophalangeal_joint_structure	metacarpophalangeal joint structure
snomed:Effusion_of_proximal_interphalangeal_joint_of_finger	effusion of proximal interphalangeal joint of finger
snomed:Finger_joint_effusion	finger joint effusion
snomed:Proximal_interphalangeal_joint_of_finger_structure	proximal interphalangeal joint of finger structure
snomed:Effusion_of_sacroiliac_joint	effusion of sacroiliac joint
snomed:Sacroiliac_disorder	sacroiliac disorder
snomed:Sacroiliac_joint_structure	sacroiliac joint structure
snomed:Effusion_of_sternoclavicular_joint	effusion of sternoclavicular joint
snomed:Sternoclavicular_joint_structure	sternoclavicular joint structure
snomed:Effusion_sample	effusion sample
snomed:Eighth_anterior_intercostal_artery	eighth anterior intercostal artery
snomed:Lower_anterior_intercostal_arteries	lower anterior intercostal arteries
snomed:Eighth_anterior_intercostal_vein	eighth anterior intercostal vein
snomed:Lower_anterior_intercostal_veins	lower anterior intercostal veins
snomed:Eighth_costochondral_junction	eighth costochondral junction
snomed:Entire_costochondral_junction	entire costochondral junction
snomed:Eighth_costotransverse_joint	eighth costotransverse joint
snomed:Eighth_external_intercostal_muscle	eighth external intercostal muscle
snomed:Entire_external_intercostal_muscle	entire external intercostal muscle
snomed:Eighth_innermost_intercostal_muscle	eighth innermost intercostal muscle
snomed:Entire_innermost_intercostal_muscle	entire innermost intercostal muscle
snomed:Eighth_intercostal_nerve	eighth intercostal nerve
snomed:Intercostal_nerve_structure	intercostal nerve structure
snomed:Eighth_internal_intercostal_muscle	eighth internal intercostal muscle
snomed:Entire_internal_intercostal_muscle	entire internal intercostal muscle
snomed:Eighth_left_posterior_intercostal_vein	eighth left posterior intercostal vein
snomed:Left_posterior_intercostal_vein	left posterior intercostal vein
snomed:Structure_of_half_of_thoracic_cavity_lateral_to_midsagittal_plane	structure of half of thoracic cavity lateral to midsagittal plane
snomed:Structure_of_tributary_of_accessory_hemiazygous_vein	structure of tributary of accessory hemiazygous vein
snomed:Eighth_levator_costae	eighth levator costae
snomed:Entire_levator_costae_muscle	entire levator costae muscle
snomed:Eighth_posterior_intercostal_artery	eighth posterior intercostal artery
snomed:Posterior_intercostal_arteries_3_to_11	posterior intercostal arteries 3 to 11
snomed:Eighth_right_posterior_intercostal_vein	eighth right posterior intercostal vein
snomed:Lower_right_posterior_intercostal_veins	lower right posterior intercostal veins
snomed:Ejaculatory_duct_structure	ejaculatory duct structure
snomed:Male_internal_genitalia_structure	male internal genitalia structure
snomed:Pelvic_cavity_male_genital_structure	pelvic cavity male genital structure
snomed:Seminal_duct_structure	seminal duct structure
snomed:Elastic_fiber	elastic fiber
snomed:Elastin	elastin
snomed:Elbow_joint_effusion	elbow joint effusion
snomed:Elbow_joint_operations	elbow joint operations
snomed:Operative_procedure_on_elbow	operative procedure on elbow
snomed:Procedure_on_elbow_joint	procedure on elbow joint
snomed:Joint_structure_of_shoulder_girdle_or_upper_limb	joint structure of shoulder girdle or upper limb
snomed:Elbow_joint_synovial_fluid	elbow joint synovial fluid
snomed:Specimen_from_upper_limb	specimen from upper limb
snomed:Upper_extremity_part	upper extremity part
snomed:Eleventh_anterior_intercostal_artery	eleventh anterior intercostal artery
snomed:Eleventh_anterior_intercostal_vein	eleventh anterior intercostal vein
snomed:Eleventh_costochondral_junction	eleventh costochondral junction
snomed:Eleventh_external_intercostal_muscle	eleventh external intercostal muscle
snomed:Eleventh_innermost_intercostal_muscle	eleventh innermost intercostal muscle
snomed:Eleventh_intercostal_nerve	eleventh intercostal nerve
snomed:Eleventh_internal_intercostal_muscle	eleventh internal intercostal muscle
snomed:Eleventh_left_posterior_intercostal_vein	eleventh left posterior intercostal vein
snomed:Structure_of_tributary_of_hemiazygous_vein	structure of tributary of hemiazygous vein
snomed:Eleventh_levator_costae	eleventh levator costae
snomed:Eleventh_posterior_intercostal_artery	eleventh posterior intercostal artery
snomed:Eleventh_right_posterior_intercostal_vein	eleventh right posterior intercostal vein
snomed:Embryo_stage_3_structure	embryo stage 3 structure
snomed:Structure_of_embryo_stage	structure of embryo stage
snomed:Embryological_remnant	embryological remnant
snomed:Embryonal_rest_AND_OR_persistent_embryonic_structure	embryonal rest and or persistent embryonic structure
snomed:Embryonic_arterial_structure	embryonic arterial structure
snomed:Embryonic_vascular_structure	embryonic vascular structure
snomed:Embryonic_cardiac_structure	embryonic cardiac structure
snomed:Embryonic_cardiovascular_structure	embryonic cardiovascular structure
snomed:Embryonic_endocrine_structure	embryonic endocrine structure
snomed:Embryonic_sensory_structure	embryonic sensory structure
snomed:Embryonic_genital_structure	embryonic genital structure
snomed:Embryonic_urogenital_structure	embryonic urogenital structure
snomed:Embryonic_gut_structure	embryonic gut structure
snomed:Embryonic_mouth_structure	embryonic mouth structure
snomed:Embryonic_nervous_system_structure	embryonic nervous system structure
snomed:Embryonic_skeletal_structure	embryonic skeletal structure
snomed:Embryonic_stem_cell	embryonic stem cell
snomed:Stem_cell	stem cell
snomed:Embryonic_urinary_tract_structure	embryonic urinary tract structure
snomed:Enamel_structure	enamel structure
snomed:Encephalomyelopathy	encephalomyelopathy
snomed:End_of_clavicle	end of clavicle
snomed:Endo_location	endo-location
snomed:Endocardial	endocardial
snomed:Endocardial_disease	endocardial disease
snomed:Endocardium_structure	endocardium structure
snomed:Endocardial_specimen	endocardial specimen
snomed:Specimen_from_heart	specimen from heart
snomed:Endocardium_of_right_atrium	endocardium of right atrium
snomed:Right_atrial_structure	right atrial structure
snomed:Structure_of_endocardium_of_atrium	structure of endocardium of atrium
snomed:Endocervical_gland_structure	endocervical gland structure
snomed:Endocervical_structure	endocervical structure
snomed:Structure_of_cervical_mucous_membrane	structure of cervical mucous membrane
snomed:Endocrine_cell	endocrine cell
snomed:Endocrine_gland_repair	endocrine gland repair
snomed:Operation_on_endocrine_system	operation on endocrine system
snomed:Procedure_on_gland	procedure on gland
snomed:Gland_structure	gland structure
snomed:Endocrine_pancreas_cell	endocrine pancreas cell
snomed:Microscopic_pancreas_structure	microscopic pancreas structure
snomed:Endocrine_system_and_or_breast_operations	endocrine system and or breast operations
snomed:Endocrine_system_subdivision	endocrine system subdivision
snomed:Endocrine_tissue_structure	endocrine tissue structure
snomed:Endoderm_structure	endoderm structure
snomed:Endolymph	endolymph
snomed:Endolymphatic_duct_structure	endolymphatic duct structure
snomed:Membranous_vestibule_structure	membranous vestibule structure
snomed:Endolymphatic_space	endolymphatic space
snomed:Fluid_space_of_inner_ear	fluid space of inner ear
snomed:Endometrial_cavity_structure	endometrial cavity structure
snomed:Endometrial_decidua	endometrial decidua
snomed:Endometrial_structure	endometrial structure
snomed:Endometrial_disorder	endometrial disorder
snomed:Endometrial_gland_structure	endometrial gland structure
snomed:Endomysium	endomysium
snomed:Reticular_tissue	reticular tissue
snomed:Endoneurium	endoneurium
snomed:Endoplasmic_reticulum	endoplasmic reticulum
snomed:Endosteum	endosteum
snomed:Endothelial_cell	endothelial cell
snomed:Endothelial_cell_granule	endothelial cell granule
snomed:Endothelium	endothelium
snomed:Endothelium_of_anterior_chamber_of_eye	endothelium of anterior chamber of eye
snomed:Endothoracic_fascia_structure	endothoracic fascia structure
snomed:Structure_of_fascia_of_trunk	structure of fascia of trunk
snomed:Enkephalin	enkephalin
snomed:Nervous_system_hormone_like_substance	nervous system hormone-like substance
snomed:Repair_of_large_intestine	repair of large intestine
snomed:Enteroendocrine_cell	enteroendocrine cell
snomed:Enteroglucagon	enteroglucagon
snomed:Enthesis	enthesis
snomed:Entire_Incisivus_labii_muscle	entire incisivus labii muscle
snomed:Entire_ala_ossis_ilii	entire ala ossis ilii
snomed:Structure_of_ala_ossis_ilii	structure of ala ossis ilii
snomed:Entire_anatomical_structure	entire anatomical structure
snomed:Entire_annular_ligament_of_radius	entire annular ligament of radius
snomed:Entire_ligament_of_elbow_joint	entire ligament of elbow joint
snomed:Structure_of_annular_ligament_of_radius	structure of annular ligament of radius
snomed:Entire_anterior_crural_muscle	entire anterior crural muscle
snomed:Entire_skeletal_muscle_of_lower_leg	entire skeletal muscle of lower leg
snomed:Entire_anterior_portion_of_diaphragmatic_aspect_of_liver	entire anterior portion of diaphragmatic aspect of liver
snomed:Structure_of_anterior_portion_of_diaphragmatic_aspect_of_liver	structure of anterior portion of diaphragmatic aspect of liver
snomed:Entire_anterior_wall_of_urinary_bladder	entire anterior wall of urinary bladder
snomed:Structure_of_anterior_wall_of_urinary_bladder	structure of anterior wall of urinary bladder
snomed:Entire_artery	entire artery
snomed:Entire_blood_vessel	entire blood vessel
snomed:Entire_artery_of_extremity	entire artery of extremity
snomed:Entire_artery_of_lower_extremity	entire artery of lower extremity
snomed:Entire_artery_of_pelvic_region	entire artery of pelvic region
snomed:Entire_artery_of_thorax_AND_OR_abdomen	entire artery of thorax and or abdomen
snomed:Entire_base_of_patella	entire base of patella
snomed:Structure_of_base_of_patella	structure of base of patella
snomed:Entire_basis_modioli	entire basis modioli
snomed:Structure_of_basis_modioli	structure of basis modioli
snomed:Entire_body_organ	entire body organ
snomed:Entire_body_conduit	entire body conduit
